"year","experiment","genotype","subplot_id","trait","data","exp"
2013,"density","A10",31008,"lfblade_area",5.527555,"dn13.sim"
2013,"density","A10",31020,"lfblade_area",4.75709,"dn13.sim"
2013,"density","A10",31028,"lfblade_area",5.213315,"dn13.sim"
2013,"density","A10",31034,"lfblade_area",7.812795,"dn13.sim"
2013,"density","A10",31094,"lfblade_area",4.777675,"dn13.sim"
2013,"density","A10",31129,"lfblade_area",5.05359,"dn13.sim"
2013,"density","A10",31162,"lfblade_area",6.188275,"dn13.sim"
2013,"density","A10",32014,"lfblade_area",6.65226,"dn13.sim"
2013,"density","A10",32016,"lfblade_area",5.270765,"dn13.sim"
2013,"density","A10",32017,"lfblade_area",5.59419,"dn13.sim"
2013,"density","A10",32035,"lfblade_area",8.467285,"dn13.sim"
2013,"density","A10",32050,"lfblade_area",5.29939,"dn13.sim"
2013,"density","A10",32053,"lfblade_area",7.269785,"dn13.sim"
2013,"density","A10",32117,"lfblade_area",8.49834,"dn13.sim"
2013,"density","A10",32127,"lfblade_area",5.57299,"dn13.sim"
2013,"density","A10",32134,"lfblade_area",8.46208,"dn13.sim"
2013,"density","A10",32142,"lfblade_area",7.23485,"dn13.sim"
2013,"density","A10",32149,"lfblade_area",5.389765,"dn13.sim"
2013,"density","A10",32168,"lfblade_area",7.62673,"dn13.sim"
2013,"density","A10",32206,"lfblade_area",4.878105,"dn13.sim"
2013,"density","A10",32209,"lfblade_area",4.62887,"dn13.sim"
2013,"density","A10",33006,"lfblade_area",4.34343,"dn13.sim"
2013,"density","A10",33019,"lfblade_area",5.94974,"dn13.sim"
2013,"density","A10",33027,"lfblade_area",2.90101,"dn13.sim"
2013,"density","A10",33060,"lfblade_area",5.914725,"dn13.sim"
2013,"density","A10",33086,"lfblade_area",6.744205,"dn13.sim"
2013,"density","A10",33090,"lfblade_area",5.726395,"dn13.sim"
2013,"density","A10",33098,"lfblade_area",7.09206,"dn13.sim"
2013,"density","A10",33107,"lfblade_area",8.973025,"dn13.sim"
2013,"density","A10",33129,"lfblade_area",6.920045,"dn13.sim"
2013,"density","A10",33134,"lfblade_area",5.09353,"dn13.sim"
2013,"density","A10",34002,"lfblade_area",3.024055,"dn13.sim"
2013,"density","A10",34004,"lfblade_area",7.414505,"dn13.sim"
2013,"density","A10",34014,"lfblade_area",2.87652,"dn13.sim"
2013,"density","A10",34060,"lfblade_area",7.321495,"dn13.sim"
2013,"density","A10",34064,"lfblade_area",6.75645,"dn13.sim"
2013,"density","A10",34070,"lfblade_area",4.35525,"dn13.sim"
2013,"density","A10",34071,"lfblade_area",8.79735,"dn13.sim"
2013,"density","A10",34094,"lfblade_area",9.00502,"dn13.sim"
2013,"density","B100",31024,"lfblade_area",11.65213,"dn13.sim"
2013,"density","B100",31026,"lfblade_area",19.645265,"dn13.sim"
2013,"density","B100",31027,"lfblade_area",8.707055,"dn13.sim"
2013,"density","B100",31068,"lfblade_area",27.04773,"dn13.sim"
2013,"density","B100",31091,"lfblade_area",27.591145,"dn13.sim"
2013,"density","B100",31093,"lfblade_area",36.7004,"dn13.sim"
2013,"density","B100",31097,"lfblade_area",21.492585,"dn13.sim"
2013,"density","B100",31133,"lfblade_area",32.26958,"dn13.sim"
2013,"density","B100",31139,"lfblade_area",5.857125,"dn13.sim"
2013,"density","B100",31144,"lfblade_area",14.277625,"dn13.sim"
2013,"density","B100",31151,"lfblade_area",31.451645,"dn13.sim"
2013,"density","B100",31173,"lfblade_area",21.110365,"dn13.sim"
2013,"density","B100",31194,"lfblade_area",35.60106,"dn13.sim"
2013,"density","B100",31200,"lfblade_area",37.8102,"dn13.sim"
2013,"density","B100",32041,"lfblade_area",43.925925,"dn13.sim"
2013,"density","B100",32047,"lfblade_area",27.870535,"dn13.sim"
2013,"density","B100",32067,"lfblade_area",48.86173,"dn13.sim"
2013,"density","B100",32090,"lfblade_area",37.97448,"dn13.sim"
2013,"density","B100",32095,"lfblade_area",34.40042,"dn13.sim"
2013,"density","B100",32121,"lfblade_area",46.349665,"dn13.sim"
2013,"density","B100",32122,"lfblade_area",22.16048,"dn13.sim"
2013,"density","B100",32156,"lfblade_area",44.65652,"dn13.sim"
2013,"density","B100",32182,"lfblade_area",41.095495,"dn13.sim"
2013,"density","B100",32193,"lfblade_area",36.86188,"dn13.sim"
2013,"density","B100",32201,"lfblade_area",32.992105,"dn13.sim"
2013,"density","B100",32210,"lfblade_area",34.482285,"dn13.sim"
2013,"density","B100",33011,"lfblade_area",16.197925,"dn13.sim"
