"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","number_plants_harvested","date","DOY","subsample_num","trait","flag","data"
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,1,"Panicle_number_per_plant",".",5.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,1,"leaf_number_per_plant",".",12.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,1,"culm_height",".",199.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,1,"second_tiller_height",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,1,"Panicle_Length",".",77.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,1,"tiller_number_per_plant",".",1.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,1,"branch_number_per_plant",".",4.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,1,"branch_number_per_plant_sqrt",".",2.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,1,"tiller_number_per_plant_sqrt",".",1.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,1,"leaf_number_per_plant_sqrt",".",3.464
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,1,"panicle_number_per_plant_sqrt",".",2.236
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,2,"Panicle_number_per_plant",".",3.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,2,"leaf_number_per_plant",".",11.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,2,"culm_height",".",246.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,2,"second_tiller_height",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,2,"Panicle_Length",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,2,"tiller_number_per_plant",".",1.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,2,"branch_number_per_plant",".",2.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,2,"branch_number_per_plant_sqrt",".",1.414
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,2,"tiller_number_per_plant_sqrt",".",1.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,2,"leaf_number_per_plant_sqrt",".",3.317
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,2,"panicle_number_per_plant_sqrt",".",1.732
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,3,"Panicle_number_per_plant",".",6.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,3,"leaf_number_per_plant",".",17.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,3,"culm_height",".",280.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,3,"second_tiller_height",".",138.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,3,"Panicle_Length",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,3,"tiller_number_per_plant",".",2.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,3,"branch_number_per_plant",".",6.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,3,"branch_number_per_plant_sqrt",".",2.449
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,3,"tiller_number_per_plant_sqrt",".",1.414
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,3,"leaf_number_per_plant_sqrt",".",4.123
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,3,"panicle_number_per_plant_sqrt",".",2.449
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,4,"Panicle_number_per_plant",".",4.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,4,"leaf_number_per_plant",".",11.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,4,"culm_height",".",365.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,4,"second_tiller_height",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,4,"Panicle_Length",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,4,"tiller_number_per_plant",".",1.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,4,"branch_number_per_plant",".",4.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,4,"branch_number_per_plant_sqrt",".",2.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,4,"tiller_number_per_plant_sqrt",".",1.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,4,"leaf_number_per_plant_sqrt",".",3.317
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,4,"07/29/2013",210,4,"panicle_number_per_plant_sqrt",".",2.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,1,"Panicle_number_per_plant",".",6.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,1,"leaf_number_per_plant",".",23.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,1,"culm_height",".",29.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,1,"second_tiller_height",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,1,"Panicle_Length",".",180.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,1,"tiller_number_per_plant",".",1.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,1,"branch_number_per_plant",".",7.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,1,"branch_number_per_plant_sqrt",".",2.646
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,1,"tiller_number_per_plant_sqrt",".",1.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,1,"leaf_number_per_plant_sqrt",".",4.796
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,1,"panicle_number_per_plant_sqrt",".",2.449
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,2,"Panicle_number_per_plant",".",6.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,2,"leaf_number_per_plant",".",19.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,2,"culm_height",".",31.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,2,"second_tiller_height",".",22.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,2,"Panicle_Length",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,2,"tiller_number_per_plant",".",2.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,2,"branch_number_per_plant",".",7.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,2,"branch_number_per_plant_sqrt",".",2.646
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,2,"tiller_number_per_plant_sqrt",".",1.414
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,2,"leaf_number_per_plant_sqrt",".",4.359
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,2,"panicle_number_per_plant_sqrt",".",2.449
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,3,"Panicle_number_per_plant",".",3.000
