"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","date","DOY","trait","panicle_emerge_date","emerge_DOY","emerge_DAS","emerge_DAT"
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,"06/12/2013",163,"panicle_emergence","06/12/2013",163,40,29
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,"06/08/2013",159,"panicle_emergence","06/08/2013",159,36,25
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,"06/21/2013",172,"panicle_emergence","06/21/2013",172,49,38
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,"06/14/2013",165,"panicle_emergence","06/14/2013",165,42,31
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,"05/31/2013",151,"panicle_emergence","05/30/2013",150,27,16
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,"06/03/2013",154,"panicle_emergence","06/02/2013",153,30,19
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,"06/13/2013",164,"panicle_emergence","06/13/2013",164,41,30
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,"06/03/2013",154,"panicle_emergence","06/02/2013",153,30,19
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,"06/09/2013",160,"panicle_emergence","06/09/2013",160,37,26
2013,"density","JGI","rain_fed",400,123,134,"RIL_146","high_density",31,31010,"06/25/2013",176,"panicle_emergence","06/24/2013",175,52,41
2013,"density","JGI","rain_fed",400,123,134,"RIL_094","high_density",31,31011,"06/21/2013",172,"panicle_emergence","06/22/2013",173,50,39
2013,"density","JGI","rain_fed",400,123,134,"RIL_216","high_density",31,31012,"06/11/2013",162,"panicle_emergence","06/11/2013",162,39,28
2013,"density","JGI","rain_fed",400,123,134,"RIL_010","high_density",31,31013,"06/10/2013",161,"panicle_emergence","06/10/2013",161,38,27
2013,"density","JGI","rain_fed",400,123,134,"RIL_063","high_density",31,31014,"07/01/2013",182,"panicle_emergence","07/01/2013",182,59,48
