"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","treatment_start","genotype","treatment","plot","subplot_ID","DOY","number_plants_harvested","trait","flag","data","trait_old"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_209","wet",15,15001,280,4,"leaf_mass_per_plant",".",0.38,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_209","wet",15,15001,280,4,"panicle_mass_per_plant",".",2.31,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_209","wet",15,15001,280,4,"stem_mass_per_plant",".",1.28,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,4,"leaf_mass_per_plant",".",0.08,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,4,"panicle_mass_per_plant",".",0.45,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,4,"stem_mass_per_plant",".",0.25,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,4,"leaf_mass_per_plant",".",0.45,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,4,"panicle_mass_per_plant",".",1.46,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,4,"stem_mass_per_plant",".",0.75,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,4,"leaf_mass_per_plant",".",1.13,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,4,"panicle_mass_per_plant",".",3.52,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,4,"stem_mass_per_plant",".",3.15,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,4,"leaf_mass_per_plant",".",1.38,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,4,"panicle_mass_per_plant",".",4.21,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,4,"stem_mass_per_plant",".",1.48,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,4,"leaf_mass_per_plant",".",0.68,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,4,"panicle_mass_per_plant",".",0.86,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,4,"stem_mass_per_plant",".",1.98,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,4,"leaf_mass_per_plant",2,1.85,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,4,"panicle_mass_per_plant",".",5.22,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,4,"stem_mass_per_plant",".",2.15,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15008,280,4,"leaf_mass_per_plant",".",1.45,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15008,280,4,"panicle_mass_per_plant",".",7.47,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15008,280,4,"stem_mass_per_plant",".",2.45,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_215","wet",15,15009,280,4,"leaf_mass_per_plant",".",0.90,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_215","wet",15,15009,280,4,"panicle_mass_per_plant",".",3.40,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_215","wet",15,15009,280,4,"stem_mass_per_plant",".",2.18,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_062","wet",15,15010,280,4,"leaf_mass_per_plant",".",0.98,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_062","wet",15,15010,280,4,"panicle_mass_per_plant",".",3.51,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_062","wet",15,15010,280,4,"stem_mass_per_plant",".",1.43,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_109","wet",15,15011,280,4,"leaf_mass_per_plant",".",0.33,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_109","wet",15,15011,280,4,"panicle_mass_per_plant",".",0.73,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_109","wet",15,15011,280,4,"stem_mass_per_plant",".",0.83,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_213","wet",15,15012,280,4,"leaf_mass_per_plant",".",0.68,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_213","wet",15,15012,280,4,"panicle_mass_per_plant",".",2.29,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_213","wet",15,15012,280,4,"stem_mass_per_plant",".",1.70,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_160","wet",15,15013,280,4,"leaf_mass_per_plant",".",0.35,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_160","wet",15,15013,280,4,"panicle_mass_per_plant",".",1.34,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_160","wet",15,15013,280,4,"stem_mass_per_plant",".",0.60,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_040","wet",15,15014,286,4,"leaf_mass_per_plant",".",0.65,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_040","wet",15,15014,286,4,"panicle_mass_per_plant",".",1.66,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_040","wet",15,15014,286,4,"stem_mass_per_plant",".",1.58,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15015,286,4,"leaf_mass_per_plant",".",1.53,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15015,286,4,"panicle_mass_per_plant",".",5.31,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15015,286,4,"stem_mass_per_plant",".",2.55,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_066","wet",15,15016,280,4,"leaf_mass_per_plant",".",0.38,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_066","wet",15,15016,280,4,"panicle_mass_per_plant",".",1.41,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_066","wet",15,15016,280,4,"stem_mass_per_plant",".",0.65,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_052","wet",15,15017,286,4,"leaf_mass_per_plant",".",0.68,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_052","wet",15,15017,286,4,"panicle_mass_per_plant",".",1.57,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_052","wet",15,15017,286,4,"stem_mass_per_plant",".",1.13,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_059","wet",15,15018,280,4,"leaf_mass_per_plant",".",0.75,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_059","wet",15,15018,280,4,"panicle_mass_per_plant",".",1.74,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_059","wet",15,15018,280,4,"stem_mass_per_plant",".",1.10,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_182","wet",15,15019,286,4,"leaf_mass_per_plant",".",0.80,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_182","wet",15,15019,286,4,"panicle_mass_per_plant",".",2.17,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_182","wet",15,15019,286,4,"stem_mass_per_plant",".",1.10,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_175","wet",15,15020,280,4,"leaf_mass_per_plant",".",0.38,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_175","wet",15,15020,280,4,"panicle_mass_per_plant",".",1.16,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_175","wet",15,15020,280,4,"stem_mass_per_plant",".",0.60,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_065","wet",15,15021,286,4,"leaf_mass_per_plant",".",0.63,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_065","wet",15,15021,286,4,"panicle_mass_per_plant",".",0.76,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_065","wet",15,15021,286,4,"stem_mass_per_plant",".",0.58,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_084","wet",15,15022,286,4,"leaf_mass_per_plant",".",0.63,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_084","wet",15,15022,286,4,"panicle_mass_per_plant",".",3.09,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_084","wet",15,15022,286,4,"stem_mass_per_plant",".",1.08,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_161","wet",15,15023,280,4,"leaf_mass_per_plant",".",0.40,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_161","wet",15,15023,280,4,"panicle_mass_per_plant",".",2.08,"panicle_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_161","wet",15,15023,280,4,"stem_mass_per_plant",".",0.80,"stem_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_194","wet",15,15024,286,4,"leaf_mass_per_plant",".",0.40,"leaf_mass_per_plant"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_194","wet",15,15024,286,4,"panicle_mass_per_plant",".",1.43,"panicle_mass_per_plant"
