"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","treatment_start","genotype","treatment","plot","subplot_ID","DOY","DOY_adj","DAS","trait","measurement_number","flag","data"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_209","wet",15,15001,188,188,0,"artificial",0,".",0.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_209","wet",15,15001,209,209,21,"canopy_height",1,".",12.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_209","wet",15,15001,217,217,29,"canopy_height",2,1,23.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_209","wet",15,15001,224,224,36,"canopy_height",3,".",49.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_209","wet",15,15001,231,231,43,"canopy_height",4,".",53.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_209","wet",15,15001,238,238,50,"canopy_height",5,".",55.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_209","wet",15,15001,246,247,59,"canopy_height",6,".",56.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_209","wet",15,15001,255,255,67,"canopy_height",7,".",56.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_209","wet",15,15001,280,280,92,"culm_height",8,".",53.675
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,188,188,0,"artificial",0,".",0.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,209,209,21,"canopy_height",1,".",13.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,217,217,29,"canopy_height",2,".",21.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,224,224,36,"canopy_height",3,".",42.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,231,231,43,"canopy_height",4,".",41.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,238,238,50,"canopy_height",5,".",43.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,246,247,59,"canopy_height",6,".",55.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,255,255,67,"canopy_height",7,".",58.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_069","wet",15,15002,280,280,92,"culm_height",8,".",33.850
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,188,188,0,"artificial",0,".",0.000
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,209,209,21,"canopy_height",1,1,14.000
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,217,217,29,"canopy_height",2,".",18.000
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,224,224,36,"canopy_height",3,1,42.000
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,231,231,43,"canopy_height",4,1,46.000
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,238,238,50,"canopy_height",5,1,54.000
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,246,247,59,"canopy_height",6,1,50.000
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,255,255,67,"canopy_height",7,".",57.000
2013,"drought","JGI","irrigated",400,188,197,205,"B100","wet",15,15003,280,280,92,"culm_height",8,".",47.100
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,188,188,0,"artificial",0,".",0.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,209,209,21,"canopy_height",1,".",16.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,217,217,29,"canopy_height",2,".",25.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,224,224,36,"canopy_height",3,1,48.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,231,231,43,"canopy_height",4,1,61.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,238,238,50,"canopy_height",5,".",67.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,246,247,59,"canopy_height",6,1,94.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,255,255,67,"canopy_height",7,1,92.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,280,92,"culm_height",8,".",102.975
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,188,188,0,"artificial",0,".",0.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,209,209,21,"canopy_height",1,".",11.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,217,217,29,"canopy_height",2,".",17.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,224,224,36,"canopy_height",3,".",27.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,231,231,43,"canopy_height",4,1,47.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,238,238,50,"canopy_height",5,1,51.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,246,247,59,"canopy_height",6,".",55.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,255,255,67,"canopy_height",7,1,56.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,280,92,"culm_height",8,".",49.400
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,188,188,0,"artificial",0,".",0.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,209,209,21,"canopy_height",1,".",15.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,217,217,29,"canopy_height",2,".",29.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,224,224,36,"canopy_height",3,".",48.000
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,231,231,43,"canopy_height",4,1,60.000
