"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","date","number_plants_harvested","trait","rep","flag","data"
2014,"density","JGI","rain_fed",400,198,205,"RIL_022","high_density",31,31001,41910,3,"basal_circumference",1,".",8.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_022","high_density",31,31001,41910,3,"basal_circumference",2,".",40.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_022","high_density",31,31001,41910,3,"basal_circumference",3,".",39.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_022","high_density",31,31001,41910,3,"branch_number_per_plant",1,".",0.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_022","high_density",31,31001,41910,3,"branch_number_per_plant",2,".",2.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_022","high_density",31,31001,41910,3,"branch_number_per_plant",3,".",0.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_022","high_density",31,31001,41910,3,"culm_height",1,".",545.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_022","high_density",31,31001,41910,3,"culm_height",2,".",271.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_022","high_density",31,31001,41910,3,"culm_height",3,".",574.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_022","high_density",31,31001,41910,3,"second_tiller_height",1,".",362.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_022","high_density",31,31001,41910,3,"second_tiller_height",2,".",535.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_022","high_density",31,31001,41910,3,"second_tiller_height",3,".",481.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_022","high_density",31,31001,41910,3,"tiller_number_per_plant",1,".",2.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_022","high_density",31,31001,41910,3,"tiller_number_per_plant",2,".",4.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_022","high_density",31,31001,41910,3,"tiller_number_per_plant",3,".",5.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_027","high_density",31,31002,41910,3,"basal_circumference",1,".",24.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_027","high_density",31,31002,41910,3,"basal_circumference",2,".",25.000
