"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","number_plants_harvested","trait","data","trait_old"
2014,"density","JGI","rain_fed",36,198,205,"RIL_093","low_density",32,32073,2,"leaf_mass_per_plant",3.30,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_093","low_density",32,32073,2,"leaf_mass_per_m2",118.84,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_093","low_density",32,32073,2,"panicle_mass_per_plant",24.53,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"RIL_093","low_density",32,32073,2,"panicle_mass_per_m2",883.18,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_093","low_density",32,32073,2,"stem_mass_per_plant",8.74,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_093","low_density",32,32073,2,"stem_mass_per_m2",314.54,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",400,198,205,"RIL_036","high_density",31,31122,2,"panicle_mass_per_plant",4.53,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",400,198,205,"RIL_036","high_density",31,31122,2,"panicle_mass_per_m2",1810.78,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",400,198,205,"RIL_036","high_density",31,31122,2,"stem_mass_per_plant",2.09,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",400,198,205,"RIL_036","high_density",31,31122,2,"stem_mass_per_m2",835.34,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32008,3,"total_mass_per_plan",5.22,"total_mass_per_plan"
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32008,3,"total_mass_per_m2",188.09,"total_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32019,3,"total_mass_per_plan",1.15,"total_mass_per_plan"
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32019,3,"total_mass_per_m2",41.28,"total_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32032,3,"total_mass_per_plan",3.20,"total_mass_per_plan"
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32032,3,"total_mass_per_m2",115.08,"total_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32107,3,"total_mass_per_plan",3.96,"total_mass_per_plan"
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32107,3,"total_mass_per_m2",142.69,"total_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32110,3,"total_mass_per_plan",3.63,"total_mass_per_plan"
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32110,3,"total_mass_per_m2",130.51,"total_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32144,3,"total_mass_per_plan",2.61,"total_mass_per_plan"
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32144,3,"total_mass_per_m2",93.79,"total_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32187,3,"total_mass_per_plan",0.84,"total_mass_per_plan"
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32187,3,"total_mass_per_m2",30.42,"total_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32003,3,"leaf_mass_per_plant",3.39,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32003,3,"leaf_mass_per_m2",122.21,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32003,3,"panicle_mass_per_plant",5.54,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32003,3,"panicle_mass_per_m2",199.26,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32003,3,"stem_mass_per_plant",8.30,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32003,3,"stem_mass_per_m2",298.65,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32021,3,"leaf_mass_per_plant",4.08,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32021,3,"leaf_mass_per_m2",146.78,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32021,3,"panicle_mass_per_plant",6.28,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32021,3,"panicle_mass_per_m2",226.05,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32021,3,"stem_mass_per_plant",8.54,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32021,3,"stem_mass_per_m2",307.32,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32056,3,"leaf_mass_per_plant",3.50,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32056,3,"leaf_mass_per_m2",125.85,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32056,3,"panicle_mass_per_plant",9.80,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32056,3,"panicle_mass_per_m2",352.71,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32056,3,"stem_mass_per_plant",6.45,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32056,3,"stem_mass_per_m2",232.20,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32069,3,"leaf_mass_per_plant",4.21,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32069,3,"leaf_mass_per_m2",151.68,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32069,3,"panicle_mass_per_plant",13.60,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32069,3,"panicle_mass_per_m2",489.58,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32069,3,"stem_mass_per_plant",8.77,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32069,3,"stem_mass_per_m2",315.65,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32071,3,"leaf_mass_per_plant",4.23,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32071,3,"leaf_mass_per_m2",152.44,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32071,3,"panicle_mass_per_plant",15.52,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32071,3,"panicle_mass_per_m2",558.69,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32071,3,"stem_mass_per_plant",10.59,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32071,3,"stem_mass_per_m2",381.39,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32078,3,"leaf_mass_per_plant",3.12,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32078,3,"leaf_mass_per_m2",112.19,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32078,3,"panicle_mass_per_plant",16.17,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32078,3,"panicle_mass_per_m2",581.99,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32078,3,"stem_mass_per_plant",7.94,"stem_mass_per_plant"
