"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","date","DOY","trait","measurement_number","rep","flag","data"
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31008,41862.00,223,"Height",1,1,".",14.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31008,41862.00,223,"Height",1,2,".",17.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31008,41862.00,223,"Height",1,3,".",13.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31012,41862.00,223,"Height",1,1,".",8.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31012,41862.00,223,"Height",1,2,".",11.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31012,41862.00,223,"Height",1,3,".",9.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31019,41862.00,223,"Height",1,1,".",8.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31019,41862.00,223,"Height",1,2,".",9.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31019,41862.00,223,"Height",1,3,".",9.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31032,41862.00,223,"Height",1,1,".",15.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31032,41862.00,223,"Height",1,2,".",12.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31032,41862.00,223,"Height",1,3,".",8.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31107,41862.00,223,"Height",1,1,".",10.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31107,41862.00,223,"Height",1,2,".",10.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31107,41862.00,223,"Height",1,3,".",6.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31110,41862.00,223,"Height",1,1,".",8.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31110,41862.00,223,"Height",1,2,".",6.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31110,41862.00,223,"Height",1,3,".",7.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31126,41862.00,223,"Height",1,1,".",9.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31126,41862.00,223,"Height",1,2,".",11.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31126,41862.00,223,"Height",1,3,".",11.0
