"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","number_plants_harvested","trait","flag","data"
2014,"drought","JGI","withheld",400,159,168,"RIL_205","dry",23,23051,1,"leaf_mass_per_plant",".",0.31
2014,"drought","JGI","withheld",400,159,168,"RIL_205","dry",23,23051,1,"leaf_mass_per_m2",".",123.08
2014,"drought","JGI","withheld",400,159,168,"RIL_205","dry",23,23051,1,"panicle_mass_per_plant",".",0.41
2014,"drought","JGI","withheld",400,159,168,"RIL_205","dry",23,23051,1,"panicle_mass_per_m2",".",164.88
2014,"drought","JGI","withheld",400,159,168,"RIL_205","dry",23,23051,1,"stem_mass_per_plant",".",0.78
2014,"drought","JGI","withheld",400,159,168,"RIL_205","dry",23,23051,1,"stem_mass_per_m2",".",311.36
2014,"drought","JGI","withheld",400,159,168,"A10","dry",24,24078,2,"leaf_mass_per_plant",".",0.16
2014,"drought","JGI","withheld",400,159,168,"A10","dry",24,24078,2,"leaf_mass_per_m2",".",65.02
2014,"drought","JGI","withheld",400,159,168,"A10","dry",24,24078,2,"panicle_mass_per_plant",".",0.33
2014,"drought","JGI","withheld",400,159,168,"A10","dry",24,24078,2,"panicle_mass_per_m2",".",133.18
2014,"drought","JGI","withheld",400,159,168,"A10","dry",24,24078,2,"stem_mass_per_plant",".",0.47
2014,"drought","JGI","withheld",400,159,168,"A10","dry",24,24078,2,"stem_mass_per_m2",".",187.94
2014,"drought","JGI","irrigated",400,159,168,"RIL_050","wet",15,15059,2,"leaf_mass_per_plant",".",0.19
2014,"drought","JGI","irrigated",400,159,168,"RIL_050","wet",15,15059,2,"leaf_mass_per_m2",".",77.98
2014,"drought","JGI","irrigated",400,159,168,"RIL_078","wet",20,20100,2,"leaf_mass_per_plant",".",0.64
2014,"drought","JGI","irrigated",400,159,168,"RIL_078","wet",20,20100,2,"leaf_mass_per_m2",".",255.38
2014,"drought","JGI","irrigated",400,159,168,"RIL_078","wet",20,20100,2,"panicle_mass_per_plant",".",1.06
2014,"drought","JGI","irrigated",400,159,168,"RIL_078","wet",20,20100,2,"panicle_mass_per_m2",".",425.44
2014,"drought","JGI","irrigated",400,159,168,"RIL_078","wet",20,20100,2,"stem_mass_per_plant",".",0.85
2014,"drought","JGI","irrigated",400,159,168,"RIL_078","wet",20,20100,2,"stem_mass_per_m2",".",340.00
2014,"drought","JGI","withheld",400,159,168,"RIL_079","dry",24,24031,2,"leaf_mass_per_plant",".",0.36
2014,"drought","JGI","withheld",400,159,168,"RIL_079","dry",24,24031,2,"leaf_mass_per_m2",".",142.80
2014,"drought","JGI","withheld",400,159,168,"RIL_079","dry",24,24031,2,"panicle_mass_per_plant",".",1.69
2014,"drought","JGI","withheld",400,159,168,"RIL_079","dry",24,24031,2,"panicle_mass_per_m2",".",674.88
2014,"drought","JGI","withheld",400,159,168,"RIL_079","dry",24,24031,2,"stem_mass_per_plant",".",0.77
2014,"drought","JGI","withheld",400,159,168,"RIL_079","dry",24,24031,2,"stem_mass_per_m2",".",306.26
2014,"drought","JGI","withheld",400,159,168,"RIL_133","dry",24,24026,2,"leaf_mass_per_plant",".",0.32
2014,"drought","JGI","withheld",400,159,168,"RIL_133","dry",24,24026,2,"leaf_mass_per_m2",".",127.44
2014,"drought","JGI","withheld",400,159,168,"RIL_133","dry",24,24026,2,"panicle_mass_per_plant",".",2.38
2014,"drought","JGI","withheld",400,159,168,"RIL_133","dry",24,24026,2,"panicle_mass_per_m2",".",952.32
2014,"drought","JGI","withheld",400,159,168,"RIL_133","dry",24,24026,2,"stem_mass_per_plant",".",0.87
2014,"drought","JGI","withheld",400,159,168,"RIL_133","dry",24,24026,2,"stem_mass_per_m2",".",349.78
2014,"drought","JGI","withheld",400,159,168,"RIL_149","dry",22,22060,2,"leaf_mass_per_plant",".",0.12
2014,"drought","JGI","withheld",400,159,168,"RIL_149","dry",22,22060,2,"leaf_mass_per_m2",".",49.44
2014,"drought","JGI","withheld",400,159,168,"RIL_149","dry",22,22060,2,"panicle_mass_per_plant",".",0.43
2014,"drought","JGI","withheld",400,159,168,"RIL_149","dry",22,22060,2,"panicle_mass_per_m2",".",172.56
2014,"drought","JGI","withheld",400,159,168,"RIL_149","dry",22,22060,2,"stem_mass_per_plant",".",0.22
2014,"drought","JGI","withheld",400,159,168,"RIL_149","dry",22,22060,2,"stem_mass_per_m2",".",86.78
2014,"drought","JGI","withheld",400,159,168,"RIL_151","dry",24,24039,2,"leaf_mass_per_plant",".",0.15
2014,"drought","JGI","withheld",400,159,168,"RIL_151","dry",24,24039,2,"leaf_mass_per_m2",".",58.86
2014,"drought","JGI","withheld",400,159,168,"RIL_151","dry",24,24039,2,"panicle_mass_per_plant",".",0.63
2014,"drought","JGI","withheld",400,159,168,"RIL_151","dry",24,24039,2,"panicle_mass_per_m2",".",250.42
2014,"drought","JGI","withheld",400,159,168,"RIL_151","dry",24,24039,2,"stem_mass_per_plant",".",0.40
2014,"drought","JGI","withheld",400,159,168,"RIL_151","dry",24,24039,2,"stem_mass_per_m2",".",161.54
2014,"drought","JGI","withheld",400,159,168,"RIL_167","dry",24,24059,2,"leaf_mass_per_plant",".",0.14
2014,"drought","JGI","withheld",400,159,168,"RIL_167","dry",24,24059,2,"leaf_mass_per_m2",".",55.46
2014,"drought","JGI","withheld",400,159,168,"RIL_167","dry",24,24059,2,"panicle_mass_per_plant",".",0.84
2014,"drought","JGI","withheld",400,159,168,"RIL_167","dry",24,24059,2,"panicle_mass_per_m2",".",335.18
2014,"drought","JGI","withheld",400,159,168,"RIL_167","dry",24,24059,2,"stem_mass_per_plant",".",0.26
2014,"drought","JGI","withheld",400,159,168,"RIL_167","dry",24,24059,2,"stem_mass_per_m2",".",105.48
2014,"drought","JGI","irrigated",400,159,168,"RIL_179","wet",18,18002,2,"leaf_mass_per_plant",".",0.31
2014,"drought","JGI","irrigated",400,159,168,"RIL_179","wet",18,18002,2,"leaf_mass_per_m2",".",124.88
2014,"drought","JGI","irrigated",400,159,168,"RIL_179","wet",18,18002,2,"panicle_mass_per_plant",".",1.29
2014,"drought","JGI","irrigated",400,159,168,"RIL_179","wet",18,18002,2,"panicle_mass_per_m2",".",517.36
2014,"drought","JGI","irrigated",400,159,168,"RIL_179","wet",18,18002,2,"stem_mass_per_plant",".",1.07
2014,"drought","JGI","irrigated",400,159,168,"RIL_179","wet",18,18002,2,"stem_mass_per_m2",".",428.12
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15044,3,"leaf_mass_per_plant",".",0.52
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15044,3,"leaf_mass_per_m2",".",207.24
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15044,3,"panicle_mass_per_plant",".",0.66
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15044,3,"panicle_mass_per_m2",".",263.35
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15044,3,"stem_mass_per_plant",".",1.08
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15044,3,"stem_mass_per_m2",".",430.16
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15055,3,"leaf_mass_per_plant",".",0.21
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15055,3,"leaf_mass_per_m2",".",85.83
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15055,3,"panicle_mass_per_plant",".",0.23
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15055,3,"panicle_mass_per_m2",".",90.57
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15055,3,"stem_mass_per_plant",".",0.65
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15055,3,"stem_mass_per_m2",".",260.82
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15060,3,"leaf_mass_per_plant",".",0.20
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15060,3,"leaf_mass_per_m2",".",81.28
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15060,3,"stem_mass_per_plant",".",0.61
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15060,3,"stem_mass_per_m2",".",246.00
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15061,3,"leaf_mass_per_plant",".",0.15
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15061,3,"leaf_mass_per_m2",".",59.67
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15061,3,"stem_mass_per_plant",".",0.46
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15061,3,"stem_mass_per_m2",".",182.55
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15070,3,"leaf_mass_per_plant",".",0.27
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15070,3,"leaf_mass_per_m2",".",107.04
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15070,3,"stem_mass_per_plant",".",0.71
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",15,15070,3,"stem_mass_per_m2",".",284.13
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16057,3,"leaf_mass_per_plant",".",0.11
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16057,3,"leaf_mass_per_m2",".",43.01
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16057,3,"panicle_mass_per_plant",".",0.45
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16057,3,"panicle_mass_per_m2",".",180.89
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16057,3,"stem_mass_per_plant",".",0.42
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16057,3,"stem_mass_per_m2",".",168.11
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16062,3,"leaf_mass_per_plant",".",0.10
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16062,3,"leaf_mass_per_m2",".",41.96
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16062,3,"panicle_mass_per_plant",".",0.05
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16062,3,"panicle_mass_per_m2",".",18.36
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16062,3,"stem_mass_per_plant",".",0.40
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16062,3,"stem_mass_per_m2",".",160.72
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16073,3,"leaf_mass_per_plant",".",0.15
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16073,3,"leaf_mass_per_m2",".",58.63
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16073,3,"panicle_mass_per_plant",".",0.55
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16073,3,"panicle_mass_per_m2",".",218.12
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16073,3,"stem_mass_per_plant",".",0.47
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16073,3,"stem_mass_per_m2",".",187.33
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16078,3,"leaf_mass_per_plant",".",0.27
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16078,3,"leaf_mass_per_m2",".",109.49
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16078,3,"stem_mass_per_plant",".",0.77
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16078,3,"stem_mass_per_m2",".",308.95
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16085,3,"leaf_mass_per_plant",".",0.21
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16085,3,"leaf_mass_per_m2",".",83.91
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16085,3,"stem_mass_per_plant",".",0.52
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16085,3,"stem_mass_per_m2",".",206.11
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16095,3,"leaf_mass_per_plant",".",0.20
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16095,3,"leaf_mass_per_m2",".",79.52
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16095,3,"stem_mass_per_plant",".",0.59
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16095,3,"stem_mass_per_m2",".",234.96
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16103,3,"leaf_mass_per_plant",".",0.36
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16103,3,"leaf_mass_per_m2",".",144.51
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16103,3,"panicle_mass_per_plant",".",1.30
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16103,3,"panicle_mass_per_m2",".",519.33
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16103,3,"stem_mass_per_plant",".",1.10
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",16,16103,3,"stem_mass_per_m2",".",440.41
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17044,3,"leaf_mass_per_plant",".",0.17
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17044,3,"leaf_mass_per_m2",".",67.88
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17044,3,"panicle_mass_per_plant",".",0.58
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17044,3,"panicle_mass_per_m2",".",230.57
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17044,3,"stem_mass_per_plant",".",0.42
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17044,3,"stem_mass_per_m2",".",168.64
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17055,3,"leaf_mass_per_plant",".",0.14
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17055,3,"leaf_mass_per_m2",".",57.15
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17055,3,"panicle_mass_per_plant",".",0.35
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17055,3,"panicle_mass_per_m2",".",139.94
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17055,3,"stem_mass_per_plant",".",0.44
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17055,3,"stem_mass_per_m2",".",177.25
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17057,3,"leaf_mass_per_plant",".",0.18
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17057,3,"leaf_mass_per_m2",".",71.01
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17057,3,"panicle_mass_per_plant",".",0.42
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17057,3,"panicle_mass_per_m2",".",169.93
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17057,3,"stem_mass_per_plant",".",0.51
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17057,3,"stem_mass_per_m2",".",202.05
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17061,3,"leaf_mass_per_plant",".",0.18
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17061,3,"leaf_mass_per_m2",".",70.85
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17061,3,"stem_mass_per_plant",".",0.65
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17061,3,"stem_mass_per_m2",".",259.55
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17070,3,"leaf_mass_per_plant",".",0.20
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17070,3,"leaf_mass_per_m2",".",78.70
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17070,3,"panicle_mass_per_plant",".",0.66
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17070,3,"panicle_mass_per_m2",".",262.63
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17070,3,"stem_mass_per_plant",".",0.57
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",17,17070,3,"stem_mass_per_m2",".",228.20
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18057,3,"leaf_mass_per_plant",".",0.28
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18057,3,"leaf_mass_per_m2",".",110.31
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18057,3,"panicle_mass_per_plant",".",0.47
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18057,3,"panicle_mass_per_m2",".",188.96
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18057,3,"stem_mass_per_plant",".",0.92
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18057,3,"stem_mass_per_m2",".",368.28
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18062,3,"leaf_mass_per_plant",".",0.15
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18062,3,"leaf_mass_per_m2",".",58.55
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18062,3,"panicle_mass_per_plant",".",0.45
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18062,3,"panicle_mass_per_m2",".",181.86
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18062,3,"stem_mass_per_plant",".",0.45
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18062,3,"stem_mass_per_m2",".",178.91
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18073,3,"leaf_mass_per_plant",".",0.20
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18073,3,"leaf_mass_per_m2",".",80.00
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18073,3,"panicle_mass_per_plant",".",0.22
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18073,3,"panicle_mass_per_m2",".",89.03
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18073,3,"stem_mass_per_plant",".",0.67
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18073,3,"stem_mass_per_m2",".",268.59
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18078,3,"leaf_mass_per_plant",".",0.20
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18078,3,"leaf_mass_per_m2",".",80.00
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18078,3,"panicle_mass_per_plant",".",0.51
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18078,3,"panicle_mass_per_m2",".",204.54
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18078,3,"stem_mass_per_plant",".",0.54
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18078,3,"stem_mass_per_m2",".",214.19
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18085,3,"leaf_mass_per_plant",".",0.23
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18085,3,"leaf_mass_per_m2",".",93.33
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18085,3,"panicle_mass_per_plant",".",0.75
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18085,3,"panicle_mass_per_m2",".",298.13
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18085,3,"stem_mass_per_plant",".",0.83
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18085,3,"stem_mass_per_m2",".",333.33
2014,"drought","JGI","irrigated",400,159,168,"A10","wet",18,18095,3,"leaf_mass_per_plant",".",0.19
