"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","date","DOY","DOY_adj","DAS","trait","measurement_number","rep","flag","data"
2014,"drought","JGI","irrigated",400,159,168,"RIL_161","wet",15,15001,".",".",159,0,,0,1,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_161","wet",15,15001,".",".",159,0,,0,2,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_161","wet",15,15001,".",".",159,0,,0,3,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_161","wet",15,15001,"07/03/2014",184,184,25,"height",1,1,1,6.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_161","wet",15,15001,"07/03/2014",184,184,25,"height",1,2,".",8.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_161","wet",15,15001,"07/03/2014",184,184,25,"height",1,3,".",8.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_161","wet",15,15001,"07/11/2014",192,192,33,"height",2,1,1,15.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_161","wet",15,15001,"07/11/2014",192,192,33,"height",2,2,".",19.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_161","wet",15,15001,"07/11/2014",192,192,33,"height",2,3,".",20.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_161","wet",15,15001,"07/18/2014",199,199,40,"height",3,1,1,25.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_161","wet",15,15001,"07/18/2014",199,199,40,"height",3,2,".",30.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_161","wet",15,15001,"07/18/2014",199,199,40,"height",3,3,".",31.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_161","wet",15,15001,"07/25/2014",206,206,47,"height",4,1,1,33.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_161","wet",15,15001,"07/25/2014",206,206,47,"height",4,2,1,34.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_161","wet",15,15001,"07/25/2014",206,206,47,"height",4,3,1,33.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_161","wet",15,15001,"08/08/2014",220,218,59,"culm_height",5,1,1,33.30
2014,"drought","JGI","irrigated",400,159,168,"RIL_161","wet",15,15001,"08/08/2014",220,218,59,"culm_height",5,2,1,32.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_161","wet",15,15001,"08/08/2014",220,218,59,"culm_height",5,3,1,33.90
2014,"drought","JGI","irrigated",400,159,168,"RIL_035","wet",15,15002,".",".",159,0,,0,1,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_035","wet",15,15002,".",".",159,0,,0,2,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_035","wet",15,15002,".",".",159,0,,0,3,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_035","wet",15,15002,"07/03/2014",184,184,25,"height",1,1,".",13.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_035","wet",15,15002,"07/03/2014",184,184,25,"height",1,2,".",15.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_035","wet",15,15002,"07/03/2014",184,184,25,"height",1,3,".",15.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_035","wet",15,15002,"07/11/2014",192,192,33,"height",2,1,".",24.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_035","wet",15,15002,"07/11/2014",192,192,33,"height",2,2,1,30.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_035","wet",15,15002,"07/11/2014",192,192,33,"height",2,3,".",29.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_035","wet",15,15002,"07/18/2014",199,199,40,"height",3,1,1,32.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_035","wet",15,15002,"07/18/2014",199,199,40,"height",3,2,".",39.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_035","wet",15,15002,"07/18/2014",199,199,40,"height",3,3,".",38.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_035","wet",15,15002,"07/25/2014",206,206,47,"height",4,1,1,52.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_035","wet",15,15002,"07/25/2014",206,206,47,"height",4,2,1,55.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_035","wet",15,15002,"07/25/2014",206,206,47,"height",4,3,1,50.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_035","wet",15,15002,"08/08/2014",220,218,59,"culm_height",5,1,1,49.90
2014,"drought","JGI","irrigated",400,159,168,"RIL_035","wet",15,15002,"08/08/2014",220,218,59,"culm_height",5,2,1,35.40
2014,"drought","JGI","irrigated",400,159,168,"RIL_035","wet",15,15002,"08/08/2014",220,218,59,"culm_height",5,3,2,28.40
2014,"drought","JGI","irrigated",400,159,168,"RIL_058","wet",15,15003,".",".",159,0,,0,1,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_058","wet",15,15003,".",".",159,0,,0,2,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_058","wet",15,15003,".",".",159,0,,0,3,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_058","wet",15,15003,"07/03/2014",184,184,25,"height",1,1,".",15.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_058","wet",15,15003,"07/03/2014",184,184,25,"height",1,2,".",15.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_058","wet",15,15003,"07/03/2014",184,184,25,"height",1,3,".",18.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_058","wet",15,15003,"07/11/2014",192,192,33,"height",2,1,".",29.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_058","wet",15,15003,"07/11/2014",192,192,33,"height",2,2,".",27.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_058","wet",15,15003,"07/11/2014",192,192,33,"height",2,3,".",29.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_058","wet",15,15003,"07/18/2014",199,199,40,"height",3,1,".",38.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_058","wet",15,15003,"07/18/2014",199,199,40,"height",3,2,".",38.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_058","wet",15,15003,"07/18/2014",199,199,40,"height",3,3,".",38.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_058","wet",15,15003,"07/25/2014",206,206,47,"height",4,1,".",42.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_058","wet",15,15003,"07/25/2014",206,206,47,"height",4,2,".",44.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_058","wet",15,15003,"07/25/2014",206,206,47,"height",4,3,1,46.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_058","wet",15,15003,"08/08/2014",220,218,59,"culm_height",5,1,".",42.10
2014,"drought","JGI","irrigated",400,159,168,"RIL_058","wet",15,15003,"08/08/2014",220,218,59,"culm_height",5,2,".",39.40
2014,"drought","JGI","irrigated",400,159,168,"RIL_058","wet",15,15003,"08/08/2014",220,218,59,"culm_height",5,3,1,48.80
2014,"drought","JGI","irrigated",400,159,168,"RIL_190","wet",15,15004,".",".",159,0,,0,1,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_190","wet",15,15004,".",".",159,0,,0,2,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_190","wet",15,15004,".",".",159,0,,0,3,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_190","wet",15,15004,"07/03/2014",184,184,25,"height",1,1,".",17.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_190","wet",15,15004,"07/03/2014",184,184,25,"height",1,2,".",17.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_190","wet",15,15004,"07/03/2014",184,184,25,"height",1,3,".",17.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_190","wet",15,15004,"07/11/2014",192,192,33,"height",2,1,".",28.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_190","wet",15,15004,"07/11/2014",192,192,33,"height",2,2,".",30.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_190","wet",15,15004,"07/11/2014",192,192,33,"height",2,3,".",32.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_190","wet",15,15004,"07/18/2014",199,199,40,"height",3,1,".",37.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_190","wet",15,15004,"07/18/2014",199,199,40,"height",3,2,".",35.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_190","wet",15,15004,"07/18/2014",199,199,40,"height",3,3,".",36.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_190","wet",15,15004,"07/25/2014",206,206,47,"height",4,1,".",35.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_190","wet",15,15004,"07/25/2014",206,206,47,"height",4,2,1,32.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_190","wet",15,15004,"07/25/2014",206,206,47,"height",4,3,".",33.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_190","wet",15,15004,"08/08/2014",220,218,59,"culm_height",5,1,".",34.60
2014,"drought","JGI","irrigated",400,159,168,"RIL_190","wet",15,15004,"08/08/2014",220,218,59,"culm_height",5,2,".",37.70
2014,"drought","JGI","irrigated",400,159,168,"RIL_190","wet",15,15004,"08/08/2014",220,218,59,"culm_height",5,3,".",37.20
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15005,".",".",159,0,,0,1,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15005,".",".",159,0,,0,2,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15005,".",".",159,0,,0,3,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15005,"07/03/2014",184,184,25,"height",1,1,1,18.00
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15005,"07/03/2014",184,184,25,"height",1,2,1,15.00
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15005,"07/03/2014",184,184,25,"height",1,3,1,18.00
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15005,"07/11/2014",192,192,33,"height",2,1,".",34.00
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15005,"07/11/2014",192,192,33,"height",2,2,1,27.00
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15005,"07/11/2014",192,192,33,"height",2,3,".",33.00
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15005,"07/18/2014",199,199,40,"height",3,1,".",46.00
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15005,"07/18/2014",199,199,40,"height",3,2,1,37.00
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15005,"07/18/2014",199,199,40,"height",3,3,1,47.00
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15005,"07/25/2014",206,206,47,"height",4,1,".",50.00
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15005,"07/25/2014",206,206,47,"height",4,2,1,62.00
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15005,"07/25/2014",206,206,47,"height",4,3,1,64.00
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15005,"08/08/2014",220,218,59,"culm_height",5,1,1,58.50
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15005,"08/08/2014",220,218,59,"culm_height",5,2,1,63.00
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15005,"08/08/2014",220,218,59,"culm_height",5,3,".",49.30
2014,"drought","JGI","irrigated",400,159,168,"RIL_194","wet",15,15006,".",".",159,0,,0,1,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_194","wet",15,15006,".",".",159,0,,0,2,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_194","wet",15,15006,".",".",159,0,,0,3,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_194","wet",15,15006,"07/03/2014",184,184,25,"height",1,1,1,17.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_194","wet",15,15006,"07/03/2014",184,184,25,"height",1,2,".",21.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_194","wet",15,15006,"07/03/2014",184,184,25,"height",1,3,".",19.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_194","wet",15,15006,"07/11/2014",192,192,33,"height",2,1,".",37.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_194","wet",15,15006,"07/11/2014",192,192,33,"height",2,2,".",40.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_194","wet",15,15006,"07/11/2014",192,192,33,"height",2,3,".",38.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_194","wet",15,15006,"07/18/2014",199,199,40,"height",3,1,1,53.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_194","wet",15,15006,"07/18/2014",199,199,40,"height",3,2,1,51.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_194","wet",15,15006,"07/18/2014",199,199,40,"height",3,3,".",46.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_194","wet",15,15006,"07/25/2014",206,206,47,"height",4,1,".",52.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_194","wet",15,15006,"07/25/2014",206,206,47,"height",4,2,".",50.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_194","wet",15,15006,"07/25/2014",206,206,47,"height",4,3,1,59.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_194","wet",15,15006,"08/08/2014",220,218,59,"culm_height",5,1,1,59.50
2014,"drought","JGI","irrigated",400,159,168,"RIL_194","wet",15,15006,"08/08/2014",220,218,59,"culm_height",5,2,1,59.80
2014,"drought","JGI","irrigated",400,159,168,"RIL_194","wet",15,15006,"08/08/2014",220,218,59,"culm_height",5,3,".",51.50
2014,"drought","JGI","irrigated",400,159,168,"RIL_207","wet",15,15007,".",".",159,0,,0,1,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_207","wet",15,15007,".",".",159,0,,0,2,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_207","wet",15,15007,".",".",159,0,,0,3,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_207","wet",15,15007,"07/03/2014",184,184,25,"height",1,1,".",16.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_207","wet",15,15007,"07/03/2014",184,184,25,"height",1,2,1,13.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_207","wet",15,15007,"07/03/2014",184,184,25,"height",1,3,1,13.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_207","wet",15,15007,"07/11/2014",192,192,33,"height",2,1,".",32.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_207","wet",15,15007,"07/11/2014",192,192,33,"height",2,2,".",30.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_207","wet",15,15007,"07/11/2014",192,192,33,"height",2,3,".",31.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_207","wet",15,15007,"07/18/2014",199,199,40,"height",3,1,".",46.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_207","wet",15,15007,"07/18/2014",199,199,40,"height",3,2,".",43.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_207","wet",15,15007,"07/18/2014",199,199,40,"height",3,3,".",46.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_207","wet",15,15007,"07/25/2014",206,206,47,"height",4,1,1,61.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_207","wet",15,15007,"07/25/2014",206,206,47,"height",4,2,1,56.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_207","wet",15,15007,"07/25/2014",206,206,47,"height",4,3,".",48.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_207","wet",15,15007,"08/08/2014",220,218,59,"culm_height",5,1,".",49.40
2014,"drought","JGI","irrigated",400,159,168,"RIL_207","wet",15,15007,"08/08/2014",220,218,59,"culm_height",5,2,".",45.10
2014,"drought","JGI","irrigated",400,159,168,"RIL_207","wet",15,15007,"08/08/2014",220,218,59,"culm_height",5,3,1,35.70
2014,"drought","JGI","irrigated",400,159,168,"RIL_183","wet",15,15008,".",".",159,0,,0,1,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_183","wet",15,15008,".",".",159,0,,0,2,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_183","wet",15,15008,".",".",159,0,,0,3,".",0.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_183","wet",15,15008,"07/03/2014",184,184,25,"height",1,1,1,13.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_183","wet",15,15008,"07/03/2014",184,184,25,"height",1,2,".",16.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_183","wet",15,15008,"07/03/2014",184,184,25,"height",1,3,1,14.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_183","wet",15,15008,"07/11/2014",192,192,33,"height",2,1,".",28.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_183","wet",15,15008,"07/11/2014",192,192,33,"height",2,2,".",29.00
2014,"drought","JGI","irrigated",400,159,168,"RIL_183","wet",15,15008,"07/11/2014",192,192,33,"height",2,3,1,23.00
