"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","trait","emergence_DAS"
2014,"drought","JGI","irrigated",400,159,168,"RIL_161","wet",15,15001,"panicle_emergence",40
2014,"drought","JGI","irrigated",400,159,168,"RIL_035","wet",15,15002,"panicle_emergence",40
2014,"drought","JGI","irrigated",400,159,168,"RIL_058","wet",15,15003,"panicle_emergence",40
2014,"drought","JGI","irrigated",400,159,168,"RIL_190","wet",15,15004,"panicle_emergence",29
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15005,"panicle_emergence",40
2014,"drought","JGI","irrigated",400,159,168,"RIL_194","wet",15,15006,"panicle_emergence",33
2014,"drought","JGI","irrigated",400,159,168,"RIL_207","wet",15,15007,"panicle_emergence",30
2014,"drought","JGI","irrigated",400,159,168,"RIL_183","wet",15,15008,"panicle_emergence",40
2014,"drought","JGI","irrigated",400,159,168,"RIL_170","wet",15,15009,"panicle_emergence",41
2014,"drought","JGI","irrigated",400,159,168,"RIL_101","wet",15,15010,"panicle_emergence",40
2014,"drought","JGI","irrigated",400,159,168,"RIL_034","wet",15,15011,"panicle_emergence",30
2014,"drought","JGI","irrigated",400,159,168,"RIL_020","wet",15,15012,"panicle_emergence",40
2014,"drought","JGI","irrigated",400,159,168,"RIL_059","wet",15,15013,"panicle_emergence",40
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15014,"panicle_emergence",40
2014,"drought","JGI","irrigated",400,159,168,"RIL_010","wet",15,15015,"panicle_emergence",40
2014,"drought","JGI","irrigated",400,159,168,"RIL_134","wet",15,15016,"panicle_emergence",40
2014,"drought","JGI","irrigated",400,159,168,"RIL_104","wet",15,15017,"panicle_emergence",41
2014,"drought","JGI","irrigated",400,159,168,"RIL_092","wet",15,15018,"panicle_emergence",32
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15019,"panicle_emergence",40
2014,"drought","JGI","irrigated",400,159,168,"RIL_098","wet",15,15020,"panicle_emergence",30
2014,"drought","JGI","irrigated",400,159,168,"RIL_008","wet",15,15021,"panicle_emergence",40
2014,"drought","JGI","irrigated",400,159,168,"B100","wet",15,15022,"panicle_emergence",40
