"","subplot_id","trait","data","genotype","treatment"
"1",50101,"leaf_mass_per_plant",NA,"RIL_206","wet"
"2",50101,"stem_mass_per_plant",4.1974,"RIL_206","wet"
"3",50101,"vegetative_mass_per_plant",NA,"RIL_206","wet"
"4",50101,"panicle_mass_per_plant",8.35291,"RIL_206","wet"
"5",50101,"total_mass_per_plant",NA,"RIL_206","wet"
"6",50101,"reproductive_vegetative_mass_ratio",NA,"RIL_206","wet"
"7",50102,"panicle_mass_per_plant",3.9473,"RIL_137","wet"
"8",50102,"total_mass_per_plant",10.8606,"RIL_137","wet"
"9",50102,"reproductive_vegetative_mass_ratio",0.570971894753591,"RIL_137","wet"
"10",50102,"leaf_mass_per_plant",1.3064,"RIL_137","wet"
"11",50102,"vegetative_mass_per_plant",6.9133,"RIL_137","wet"
"12",50102,"stem_mass_per_plant",5.6069,"RIL_137","wet"
"13",50103,"leaf_mass_per_plant",2.1689,"RIL_197","wet"
"14",50103,"vegetative_mass_per_plant",5.4398,"RIL_197","wet"
"15",50103,"reproductive_vegetative_mass_ratio",1.1154564506048,"RIL_197","wet"
"16",50103,"panicle_mass_per_plant",6.06786,"RIL_197","wet"
"17",50103,"stem_mass_per_plant",3.2709,"RIL_197","wet"
"18",50103,"total_mass_per_plant",11.50766,"RIL_197","wet"
"19",50104,"stem_mass_per_plant",1.9504,"RIL_045","wet"
"20",50104,"reproductive_vegetative_mass_ratio",1.18371040723982,"RIL_045","wet"
"21",50104,"total_mass_per_plant",6.08076,"RIL_045","wet"
"22",50104,"vegetative_mass_per_plant",2.7846,"RIL_045","wet"
"23",50104,"leaf_mass_per_plant",0.8342,"RIL_045","wet"
"24",50104,"panicle_mass_per_plant",3.29616,"RIL_045","wet"
"25",50105,"reproductive_vegetative_mass_ratio",NA,"RIL_014","wet"
"26",50105,"vegetative_mass_per_plant",NA,"RIL_014","wet"
"27",50105,"leaf_mass_per_plant",NA,"RIL_014","wet"
"28",50105,"total_mass_per_plant",NA,"RIL_014","wet"
"29",50105,"stem_mass_per_plant",2.6831,"RIL_014","wet"
"30",50105,"panicle_mass_per_plant",4.57812,"RIL_014","wet"
"31",50106,"panicle_mass_per_plant",11.5237,"RIL_180","wet"
"32",50106,"total_mass_per_plant",18.9488,"RIL_180","wet"
"33",50106,"stem_mass_per_plant",5.3926,"RIL_180","wet"
"34",50106,"reproductive_vegetative_mass_ratio",1.55199256575669,"RIL_180","wet"
"35",50106,"leaf_mass_per_plant",2.0325,"RIL_180","wet"
"36",50106,"vegetative_mass_per_plant",7.4251,"RIL_180","wet"
"37",50107,"reproductive_vegetative_mass_ratio",NA,"RIL_123","wet"
"38",50107,"total_mass_per_plant",NA,"RIL_123","wet"
"39",50107,"vegetative_mass_per_plant",NA,"RIL_123","wet"
"40",50107,"stem_mass_per_plant",NA,"RIL_123","wet"
"41",50107,"panicle_mass_per_plant",NA,"RIL_123","wet"
"42",50107,"leaf_mass_per_plant",0.7098,"RIL_123","wet"
"43",50108,"reproductive_vegetative_mass_ratio",1.27014561321795,"RIL_100","wet"
"44",50108,"vegetative_mass_per_plant",8.1586,"RIL_100","wet"
"45",50108,"stem_mass_per_plant",5.1146,"RIL_100","wet"
"46",50108,"total_mass_per_plant",18.52121,"RIL_100","wet"
"47",50108,"leaf_mass_per_plant",3.044,"RIL_100","wet"
"48",50108,"panicle_mass_per_plant",10.36261,"RIL_100","wet"
"49",50109,"reproductive_vegetative_mass_ratio",0.901204819277108,"RIL_024","wet"
"50",50109,"vegetative_mass_per_plant",4.731,"RIL_024","wet"
"51",50109,"stem_mass_per_plant",2.6956,"RIL_024","wet"
