"","subplot_id","genotype","data","trait","rep","treatment"
"1",50501,"RIL_058",-1.6,"water_potential_1",1,"dry"
"2",50501,"RIL_058",-1.85,"water_potential_2",1,"dry"
"3",50501,"RIL_058",-2.15,"water_potential_2",2,"dry"
"4",50501,"RIL_058",-1.7,"water_potential_1",2,"dry"
"5",50502,"RIL_201",-1.75,"water_potential_2",1,"dry"
"6",50502,"RIL_201",-1.95,"water_potential_2",2,"dry"
"7",50502,"RIL_201",-1.45,"water_potential_1",1,"dry"
"8",50502,"RIL_201",-1.6,"water_potential_1",2,"dry"
"9",50503,"RIL_166",-1.45,"water_potential_1",1,"dry"
"10",50503,"RIL_166",-1.5,"water_potential_1",2,"dry"
"11",50503,"RIL_166",-1.95,"water_potential_2",2,"dry"
"12",50503,"RIL_166",-2.05,"water_potential_2",1,"dry"
"13",50504,"RIL_081",-1.2,"water_potential_1",1,"dry"
"14",50504,"RIL_081",-2.225,"water_potential_2",1,"dry"
"15",50504,"RIL_081",-1.5,"water_potential_1",2,"dry"
"16",50504,"RIL_081",-1.825,"water_potential_2",2,"dry"
"17",50505,"RIL_066",-1.55,"water_potential_1",1,"dry"
"18",50505,"RIL_066",-1.875,"water_potential_2",2,"dry"
"19",50505,"RIL_066",-2.075,"water_potential_2",1,"dry"
"20",50505,"RIL_066",-1.5,"water_potential_1",2,"dry"
"21",50506,"RIL_174",-1.775,"water_potential_1",2,"dry"
"22",50506,"RIL_174",-1.7,"water_potential_1",1,"dry"
"23",50506,"RIL_174",-1.925,"water_potential_2",2,"dry"
"24",50506,"RIL_174",-2.175,"water_potential_2",1,"dry"
"25",50507,"RIL_002",-2.125,"water_potential_2",1,"dry"
"26",50507,"RIL_002",-1.625,"water_potential_1",2,"dry"
"27",50507,"RIL_002",-1.4,"water_potential_1",1,"dry"
"28",50507,"RIL_002",-2.175,"water_potential_2",2,"dry"
"29",50508,"RIL_116",-1.4,"water_potential_1",1,"dry"
"30",50508,"RIL_116",-2,"water_potential_2",1,"dry"
"31",50508,"RIL_116",-1.8,"water_potential_1",2,"dry"
"32",50508,"RIL_116",-2.25,"water_potential_2",2,"dry"
"33",50509,"RIL_045",-1.825,"water_potential_1",2,"dry"
"34",50509,"RIL_045",-1.85,"water_potential_1",1,"dry"
"35",50509,"RIL_045",-2,"water_potential_2",1,"dry"
"36",50509,"RIL_045",-1.925,"water_potential_2",2,"dry"
"37",50510,"RIL_207",-2.25,"water_potential_2",1,"dry"
"38",50510,"RIL_207",-1.75,"water_potential_2",2,"dry"
"39",50510,"RIL_207",-1.7,"water_potential_1",1,"dry"
"40",50510,"RIL_207",-1.65,"water_potential_1",2,"dry"
"41",50511,"B100",-2.15,"water_potential_2",1,"dry"
"42",50511,"B100",-1.5,"water_potential_1",1,"dry"
"43",50511,"B100",-1.3,"water_potential_1",2,"dry"
"44",50511,"B100",-2.05,"water_potential_2",2,"dry"
"45",50512,"RIL_181",-1.925,"water_potential_2",2,"dry"
"46",50512,"RIL_181",-1.6,"water_potential_1",2,"dry"
"47",50512,"RIL_181",-1.975,"water_potential_2",1,"dry"
"48",50512,"RIL_181",-1.3,"water_potential_1",1,"dry"
