"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","DOY","plant_number","trait","data"
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,4,"stem_mass_per_plant",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,210,4,"stem_mass_per_plant",0.775
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,210,4,"stem_mass_per_plant",2.625
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,3,"stem_mass_per_plant",0.933333333333333
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,4,"stem_mass_per_plant",0.85
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,4,"stem_mass_per_plant",0.6
2013,"density","JGI","rain_fed",400,123,134,"RIL_090","high_density",31,31007,210,4,"stem_mass_per_plant",0.975
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31008,210,4,"stem_mass_per_plant",0.3
2013,"density","JGI","rain_fed",400,123,134,"RIL_196","high_density",31,31009,210,4,"stem_mass_per_plant",0.625
2013,"density","JGI","rain_fed",400,123,134,"RIL_146","high_density",31,31010,210,4,"stem_mass_per_plant",2.35
2013,"density","JGI","rain_fed",400,123,134,"RIL_094","high_density",31,31011,210,4,"stem_mass_per_plant",2.575
2013,"density","JGI","rain_fed",400,123,134,"RIL_216","high_density",31,31012,210,4,"stem_mass_per_plant",0.275
2013,"density","JGI","rain_fed",400,123,134,"RIL_010","high_density",31,31013,210,4,"stem_mass_per_plant",1
2013,"density","JGI","rain_fed",400,123,134,"RIL_063","high_density",31,31014,NA,0,"stem_mass_per_plant",NA
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31015,210,4,"stem_mass_per_plant",0.675
2013,"density","JGI","rain_fed",400,123,134,"RIL_078","high_density",31,31016,210,3,"stem_mass_per_plant",1.83333333333333
2013,"density","JGI","rain_fed",400,123,134,"RIL_200","high_density",31,31017,210,4,"stem_mass_per_plant",0.7
2013,"density","JGI","rain_fed",400,123,134,"RIL_036","high_density",31,31018,210,4,"stem_mass_per_plant",0.75
2013,"density","JGI","rain_fed",400,123,134,"RIL_070","high_density",31,31019,210,4,"stem_mass_per_plant",0.625
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31020,210,4,"stem_mass_per_plant",0.325
2013,"density","JGI","rain_fed",400,123,134,"RIL_062","high_density",31,31021,210,4,"stem_mass_per_plant",1.95
2013,"density","JGI","rain_fed",400,123,134,"RIL_015","high_density",31,31022,210,4,"stem_mass_per_plant",0.575
2013,"density","JGI","rain_fed",400,123,134,"RIL_054","high_density",31,31023,210,4,"stem_mass_per_plant",1
2013,"density","JGI","rain_fed",400,123,134,"B100","high_density",31,31024,210,4,"stem_mass_per_plant",5
2013,"density","JGI","rain_fed",400,123,134,"RIL_047","high_density",31,31025,210,4,"stem_mass_per_plant",0.775
2013,"density","JGI","rain_fed",400,123,134,"B100","high_density",31,31026,210,4,"stem_mass_per_plant",3.65
2013,"density","JGI","rain_fed",400,123,134,"B100","high_density",31,31027,210,4,"stem_mass_per_plant",2.625
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31028,210,3,"stem_mass_per_plant",0.4
2013,"density","JGI","rain_fed",400,123,134,"RIL_164","high_density",31,31029,210,4,"stem_mass_per_plant",0.55
2013,"density","JGI","rain_fed",400,123,134,"RIL_038","high_density",31,31030,210,3,"stem_mass_per_plant",0.833333333333333
2013,"density","JGI","rain_fed",400,123,134,"RIL_018","high_density",31,31031,211,4,"stem_mass_per_plant",1.25
2013,"density","JGI","rain_fed",400,123,134,"RIL_209","high_density",31,31032,210,2,"stem_mass_per_plant",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_157","high_density",31,31033,210,4,"stem_mass_per_plant",0.85
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31034,210,4,"stem_mass_per_plant",0.925
2013,"density","JGI","rain_fed",400,123,134,"RIL_136","high_density",31,31035,210,4,"stem_mass_per_plant",1.55
2013,"density","JGI","rain_fed",400,123,134,"RIL_093","high_density",31,31036,210,4,"stem_mass_per_plant",0.975
2013,"density","JGI","rain_fed",400,123,134,"RIL_153","high_density",31,31037,210,4,"stem_mass_per_plant",1.825
2013,"density","JGI","rain_fed",400,123,134,"RIL_201","high_density",31,31038,210,4,"stem_mass_per_plant",2.175
2013,"density","JGI","rain_fed",400,123,134,"RIL_115","high_density",31,31039,210,4,"stem_mass_per_plant",0.45
2013,"density","JGI","rain_fed",400,123,134,"RIL_033","high_density",31,31040,211,4,"stem_mass_per_plant",1.05
2013,"density","JGI","rain_fed",400,123,134,"RIL_206","high_density",31,31041,210,4,"stem_mass_per_plant",0.675
2013,"density","JGI","rain_fed",400,123,134,"RIL_029","high_density",31,31042,210,4,"stem_mass_per_plant",1.6
2013,"density","JGI","rain_fed",400,123,134,"RIL_134","high_density",31,31043,210,4,"stem_mass_per_plant",1.425
2013,"density","JGI","rain_fed",400,123,134,"RIL_060","high_density",31,31044,210,4,"stem_mass_per_plant",1.675
2013,"density","JGI","rain_fed",400,123,134,"RIL_016","high_density",31,31045,210,4,"stem_mass_per_plant",1
2013,"density","JGI","rain_fed",400,123,134,"RIL_170","high_density",31,31046,210,4,"stem_mass_per_plant",4.175
2013,"density","JGI","rain_fed",400,123,134,"RIL_031","high_density",31,31047,210,4,"stem_mass_per_plant",0.55
2013,"density","JGI","rain_fed",400,123,134,"RIL_105","high_density",31,31048,210,4,"stem_mass_per_plant",0.55
2013,"density","JGI","rain_fed",400,123,134,"RIL_163","high_density",31,31049,210,4,"stem_mass_per_plant",0.6
