"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","DOY","subsample_num","trait","data"
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,1,"branch_number_per_plant",4
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,2,"branch_number_per_plant",2
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,3,"branch_number_per_plant",6
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,4,"branch_number_per_plant",4
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,1,"culm_height",199
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,2,"culm_height",246
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,3,"culm_height",280
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,4,"culm_height",365
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,1,"leaf_number_per_plant",12
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,2,"leaf_number_per_plant",11
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,3,"leaf_number_per_plant",17
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,4,"leaf_number_per_plant",11
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,1,"Panicle_Length",77
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,2,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,3,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,4,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,1,"Panicle_number_per_plant",5
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,2,"Panicle_number_per_plant",3
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,3,"Panicle_number_per_plant",6
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,4,"Panicle_number_per_plant",4
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,1,"second_tiller_height",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,2,"second_tiller_height",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,3,"second_tiller_height",138
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,4,"second_tiller_height",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,1,"tiller_number_per_plant",1
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,2,"tiller_number_per_plant",1
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,3,"tiller_number_per_plant",2
2013,"density","JGI","rain_fed",400,123,134,"RIL_095","high_density",31,31001,210,4,"tiller_number_per_plant",1
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,210,1,"branch_number_per_plant",7
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,210,2,"branch_number_per_plant",7
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,210,3,"branch_number_per_plant",3
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,210,4,"branch_number_per_plant",4
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,210,1,"culm_height",29
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,210,2,"culm_height",31
