"","density_2013","density_2014","drought_2013","drought_2014","drought_2015"
"basal_circumference",0,591,0,1069,747
"branch_number",674,579,497,1066,0
"branch_number_cbrt",674,579,497,1066,0
"CN_ratio",0,582,529,803,673
"culm_height",674,584,497,1069,747
"d13C",0,582,528,803,748
"dead_percent",0,0,0,0,747
"gC.m2",0,582,529,803,673
"gN.m2",0,582,529,803,673
"green_percent",0,0,0,0,747
"leaf_mass_at_harvest",674,588,497,1070,744
"leaf_mass_ratio",674,588,497,1070,744
"leaf_number",674,0,497,0,747
"leaf_number_cbrt",674,0,497,0,747
"leaf_number_dead",0,0,0,0,747
"leaf_number_green",0,0,0,0,747
"lfblade_area",983,609,526,724,673
"lfblade_length",983,609,0,724,673
"lfblade_weight",983,609,530,724,673
"lfblade_width",983,609,0,724,673
"panicle_emergence_DAS",663,832,698,1074,749
"panicle_length",674,0,0,0,0
"panicle_mass_at_harvest",674,588,497,1070,744
"panicle_number",674,0,496,0,747
"panicle_number_cbrt",674,0,496,0,747
"reproductive_vegetative_mass_ratio",674,588,497,1070,744
"sim_CN_ratio",577,0,0,0,0
"sim_d13C",576,0,0,0,0
"sim_gC.m2",577,0,0,0,0
"sim_gN.m2",577,0,0,0,0
"sim_SLA",565,0,0,0,0
"SLA",0,609,526,724,673
"stag_CN_ratio",637,0,0,0,0
"stag_d13C",637,0,0,0,0
"stag_gC.m2",637,0,0,0,0
"stag_gN.m2",637,0,0,0,0
"stag_SLA",418,0,0,0,0
"stem_mass_at_harvest",674,588,497,1070,744
"tiller_height",674,583,497,0,747
"tiller_number",674,580,497,1066,747
"tiller_number_cbrt",674,580,497,1066,747
"total_mass_at_harvest",674,588,497,1070,744
"vegetative_mass_at_harvest",674,588,497,1070,744
