"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"lfblade_area",0.492960185103021,-0.00024756424822289,0.059104243938631,-0.08971246156263,-0.460155629812507,0.303909284245313,0.0351723639528596,0.0337232920531664,0.66254822080538
"lfblade_weight",0.503313194843169,-0.120542958090115,-0.00572126004224005,0.0829381490961097,-0.435290126074811,0.107281906121952,0.0458587465192922,0.0621670903214048,-0.719916023414504
"SLA",-0.140302618616357,0.477024174757101,0.329453469938667,-0.452284371132218,0.10165651984688,0.623487426192254,-0.00697916094706599,0.00439143518993904,-0.201305138145638
"d13C",0.173824649660087,-0.208622231553792,0.584408055119594,-0.451161595324928,0.0590913909775617,-0.442381456616408,0.3359224235854,-0.262936156229372,-0.0031229987801672
"tiller_number_cbrt",-0.256326449624832,0.504428100933971,0.154335679253584,0.310556672774649,-0.375841010813911,-0.227473163540802,0.553191710432904,0.245226643527169,0.0206497599788502
"panicle_emergence_DAS",0.169455131181119,0.303600896600664,-0.488259841514683,-0.597896525710991,-0.0138154878502625,-0.376159728101189,-0.0547394439911848,0.371859863570956,-0.0164423901325517
"vegetative_mass_at_harvest",0.319644019633088,0.497446284959688,-0.256216190397011,0.148226673750902,0.16133761850241,-0.0890387327605325,0.0766579723958495,-0.723076976366297,-0.00908458591755792
"panicle_mass_at_harvest",0.264387468255881,0.346285533817266,0.467474247518959,0.250335058213957,0.108614589848942,-0.28924008032862,-0.614514691542282,0.235173472752936,0.0243713074986268
"culm_height",0.432752732239861,-0.0201579856574914,-0.00234707202587566,0.195960479571544,0.636929487928092,0.163902149509757,0.437315756351562,0.386368405320687,0.0290518065275618
"",1.82122761727268,1.32161820211986,1.21367723485533,0.905672124619494,0.773833144982846,0.722206237388847,0.575110454854786,0.420618876520181,0.123000024488265
