"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13"
"lfblade_area",0.311126356104636,-0.293909628400212,-0.160676814955864,0.221000142913532,-0.336133653506914,0.408482324017764,0.0845253788408422,-0.0593181898370595,0.0236089910817052,-0.0650880817911879,0.295164899981054,0.599270292988292,0.0247294233594886
"lfblade_weight",0.295414682719823,-0.325358022426715,-0.249599942674142,0.0253032880568889,-0.387652606135415,0.24609538781837,-0.0111917161531989,-0.102487503419843,0.0535485150719914,-0.096167181694568,-0.277612317852599,-0.657929787153353,-0.0202419055752842
"SLA",-0.000294523781445517,0.145936528395137,0.439756507179557,0.510781044889375,0.340636105611538,0.547984572813088,0.256149050676008,0.0253551089151206,0.0171357455411882,-0.0467432457089052,-0.0746929251041088,-0.183809123167015,0.000850704606323078
"d13C",0.0190727322355652,-0.466183660345522,0.141798869412789,0.40377902287267,0.203142089350101,-0.214377262886259,-0.645994478495252,0.234160180484482,0.161289609559141,-0.11690486000898,0.00140504643936542,0.00479211954271619,0.0097163956018873
"tiller_number_cbrt",-0.036253542432489,0.310050404571099,0.438463788348901,-0.140869205919553,-0.371666830978217,0.220866797142862,-0.573455576193451,-0.37354330998394,-0.173801530955077,-0.0661428097279133,0.0175638254903681,0.0162753152508264,0.000552713904121776
"panicle_emergence_DAS",0.214036377789747,0.271205229395696,-0.177312566707467,0.578908071264086,-0.039561086751716,-0.463163141217574,0.0760356838470471,-0.533082828672319,-0.0648019811165284,-0.0598697771230826,0.00256775631648697,-0.0141110042045879,-0.00534303767019982
"vegetative_mass_at_harvest",0.403632507438004,0.224705945631564,0.0226583656135825,-0.0780130286660557,0.0548558846971604,-0.0402476800593548,-0.0417794307507093,0.248866549499696,-0.0289304635412093,-0.276827191082884,-0.108442058454203,0.081094321829515,-0.784775919683495
"leaf_mass_at_harvest",0.378015355156105,0.203677537176152,0.0530865333626596,0.156223136139275,-0.17905867754787,-0.0765814821409346,-0.0766758725222339,0.457432143357256,-0.372492947804908,0.528103614670744,-0.236419142523965,0.0465181865866507,0.244220266528146
"stem_mass_at_harvest",0.390180997665234,0.219706051634491,0.00604601298712681,-0.194842924550775,0.160143110843758,-0.0256498262233294,-0.0175439974157683,0.0982228445593449,0.167759856748529,-0.579159044425334,-0.18933638141299,0.0987063569609442,0.562199869560576
"panicle_mass_at_harvest",0.261765299725823,-0.229272285458882,0.421705213873704,-0.175901774450795,0.00926988096763789,-0.151885051267854,0.159856487650139,-0.292161786326505,0.478540655817466,0.345658119276627,-0.381464502627156,0.195933405199416,-0.0606882118857714
"total_mass_at_harvest",0.395375240612731,0.00601960217133911,0.261454081862313,-0.133033550615677,0.0318318611443893,-0.143927353952215,0.0656168121673477,0.0448351093358714,0.129879934191681,0.123752057139461,0.760316774402985,-0.340546846750385,0.0574873559872579
"reproductive_vegetative_mass_ratio",-0.0329790551255946,-0.405844594077188,0.433540997002044,-0.0379285404767704,-0.145779980897129,-0.275870232522406,0.324502869070268,-0.0023497684544355,-0.575001105834991,-0.329250364283822,-0.0499746894538442,0.0194515009619075,0.0153117954529043
"culm_height",0.290610594635719,-0.204673351827065,-0.192822271876188,-0.230373212381385,0.597219098188573,0.187086238843237,-0.179114498306056,-0.372278411146133,-0.437759483642611,0.168975282894065,-0.0177989924420518,0.0225201245026571,-0.00685222741825251
"",2.26347343823554,1.59271852190063,1.48961677555145,0.944870581557054,0.806071006812202,0.771564433847015,0.66176616454619,0.522409986209261,0.34911964191462,0.341790390607393,0.135655536801645,0.118480454325701,0.0338100349905806
