"Obs","experiment","year","treatment","plot","subplot_id","genotype","sampling","sim_lfblade_area","sim_lfblade_weight","sim_lfblade_width","sim_lfblade_length","stag_lfblade_area","stag_lfblade_weight","stag_lfblade_width","stag_lfblade_length","sim_SLA","stag_SLA","sim_gN.m2","stag_gN.m2","sim_gC.m2","stag_gC.m2","sim_CN_ratio","stag_CN_ratio","sim_d13C","stag_d13C","panicle_emergence_DAS","vegetative_mass_at_harvest","leaf_mass_at_harvest","stem_mass_at_harvest","panicle_mass_at_harvest","total_mass_at_harvest","reproductive_vegetative_mass_ratio","leaf_mass_ratio","culm_height","branch_number_cbrt","leaf_number","panicle_number","panicle_length","tiller_height","tiller_number"
1,"DN13",2013,"sparse","32",32001,"RIL_040","null",15.4833257423901,0.0813020164334566,20.3930421936915,164.043246534522,17.8176525691499,0.0920011810987419,23.6770377579766,169.184688889592,199.469990043663,197.617888164436,2.07680803772359,2.01422459367286,25.9811029542568,25.5051236126271,12.9875952313077,12.8834822135401,-13.5991717925774,-13.3633292617414,38.0377750131408,NA,NA,8.46613959712456,6.99134049049993,NA,NA,NA,473.065714533738,2.3411539370586,NA,NA,NA,403.481407350241,6.99494129960217
2,"DN13",2013,"sparse","32",32002,"RIL_061","null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.9949502930523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"DN13",2013,"sparse","32",32003,"RIL_148","null",21.5430716816741,0.102992381577321,22.1750071454314,203.328889214348,20.927644636444,0.11019240617552,24.734501564074,192.519242697502,207.95930700216,200.640804363079,1.88320962036807,2.06767793659074,25.5640468855193,26.027373330363,14.2533818277081,12.7565981936647,-13.4546667407629,-13.377708652321,39.7545263030921,NA,NA,7.21692111064802,4.94338658020335,NA,NA,NA,432.016165534614,2.09111007542853,54.2064048183822,17.457502780397,114.778652508365,332.794278383595,6.88573962319904
4,"DN13",2013,"sparse","32",32004,"RIL_059","null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4529491127225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"DN13",2013,"sparse","32",32005,"RIL_055","null",28.6882487548274,0.147141594619394,24.6634703293105,217.764590457527,27.2228600972587,0.141753651842466,24.3045801421932,206.642009062556,190.953011124526,198.134715991173,2.12279128378809,2.0364331811964,25.2838796331473,25.5082333885068,12.2284322158891,12.6296420429874,-13.5184417550473,-13.1629881900023,34.9797152441598,NA,NA,5.93181559846418,2.07241541735582,NA,NA,NA,373.342245741041,2.10082850349776,57.1948232669836,25.0729732782399,95.9890913802492,270.410601658342,5.63084910498222
6,"DN13",2013,"sparse","32",32006,"RIL_190","null",22.4153499269167,0.107490923923661,21.8267847290799,185.329078496909,22.9025913802455,0.11286351917859,21.3019759915814,187.335378354232,207.561971958651,204.371035643493,2.02916166814814,2.13124630070003,25.5023586843684,26.4917796794528,12.790633580279,12.6550541931163,-13.3660146884987,-13.3935004649798,39.1718064193408,7.16813379659357,1.46690393407472,5.68702135127088,1.48831568550277,8.72913925341505,0.283377248669631,0.175172822444478,339.844114955152,2.27380323618712,54.0914699306693,23.2195723753092,97.9459617092028,298.03262128837,6.65998477493437
7,"DN13",2013,"sparse","32",32007,"RIL_026","null",17.7226003250107,0.0871791555440097,21.2329407322681,148.100120452921,18.8885554833562,0.0841881998754384,20.5749509641827,155.868523674019,207.895707908282,216.331549139367,2.07185821618007,2.04411905776945,24.9298798338096,25.2504370485159,12.2643323360495,12.5421296836897,-13.256461928011,-13.0741258677178,34.8255399086447,9.90982471610742,2.11501907083197,7.76655642476412,5.83803695431576,15.4303981831053,0.515914279538798,0.132203754821216,318.487512688354,2.75039460904601,76.6907304611415,70.6007482736329,102.954504568023,309.426601682288,8.95723563657829
8,"DN13",2013,"sparse","32",32008,"RIL_013","null",24.7589075236355,0.120220412588297,22.2502314462814,198.846776029662,19.4125594619477,0.101403055050926,20.525471360891,170.886791710744,203.407968513653,199.101463987114,2.05101828266164,2.03561992742596,25.4571821933037,25.3303913285833,12.7529284424946,12.8273369605913,-13.3962075864205,-13.289823350968,36.8493624174135,9.75799954007805,2.57614892321131,7.14396638557061,4.5890631104777,14.3966343995491,0.45449440168043,0.1816500773677,327.290659708971,2.28937737227393,63.4598471972624,28.4255192734282,110.000323078483,322.933262510741,6.45984184307524
9,"DN13",2013,"sparse","32",32009,"RIL_018","null",22.0119975823757,0.100614566636181,20.653848430552,192.024212042425,19.4800836264515,0.0912829789100315,20.7449054727576,178.589698029801,215.648467918512,210.287153345336,1.97408542370708,2.01837578257903,25.2324727997314,24.3263830798083,13.0537200487656,12.5035572354415,-13.4336345206199,-13.3757204998921,39.1178848285678,9.9357496754029,2.81351037920007,7.10222395447337,2.1046806920185,12.3078867503559,0.296762251684259,0.236754562195982,374.917270623686,2.05111143413272,55.6487561641223,15.1916167096638,98.6338010231863,290.153661293698,5.06708086157439
10,"DN13",2013,"sparse","32",32010,"RIL_136","null",27.2050436193844,0.125760560557353,21.8306909027474,225.216511629352,24.4984383585185,0.119674842647503,24.5152410835242,206.35621277251,211.144224805877,205.6316271479,2.02483491090905,2.09146349077513,26.1625087140895,25.8130770213452,13.2280573946491,12.582766177089,-13.2414330410838,-13.2499195596243,38.2059694169638,10.9422616862823,3.07937756369002,7.88497747254427,5.11658298943371,16.0250447486945,0.445929889162592,0.187770642175224,426.065040727068,2.27476807578067,62.8456346388593,23.8935118051729,121.630352794055,346.491028904744,7.56042146445185
