"Obs","experiment","year","treatment","plot","subplot_id","genotype","sampling","lfblade_area","lfblade_length","lfblade_width","lfblade_weight","SLA","gN.m2","gC.m2","CN_ratio","d13C","panicle_emergence_DAS","vegetative_mass_at_harvest","leaf_mass_at_harvest","stem_mass_at_harvest","panicle_mass_at_harvest","total_mass_at_harvest","reproductive_vegetative_mass_ratio","leaf_mass_ratio","culm_height","branch_number_cbrt","tiller_height","tiller_number","basal_circumference"
1,"DN14",2014,"sparse","32",32001,"RIL_022","null",15.7158665220459,170.567006587178,18.8540546181017,0.0550604014549391,287.073235303996,2.03831512709115,19.7646755177406,9.71602162139792,-12.3478092583498,40.1368532679638,10.1945797476518,2.58058943502693,7.36055788030101,16.1662768996797,25.9484061416233,1.46198487312974,0.105799342208628,496.623905376194,1.92616974112303,376.328874253386,6.56843517149501,45.1125270968845
2,"DN14",2014,"sparse","32",32002,"RIL_027","null",11.8259895939758,137.772285762671,18.8011183012906,0.0424939977484025,284.71093601871,2.09260109976991,19.7784778863512,9.4419998085493,-12.4603014812416,39.4164591962696,8.89570954970296,2.55023528091844,6.38879680658635,11.5543230267916,20.5323695730322,1.30811101913358,0.120501448143156,409.747434192371,2.60561416620151,387.599564655781,7.84433966368667,47.2713491066809
3,"DN14",2014,"sparse","32",32003,"B100","null",20.0220574294585,172.818909905536,22.2219926973301,0.0804979518653115,260.308605273219,2.13114910231787,20.313153731187,9.72767320936155,-12.3654869041533,41.8993502817264,12.5655816230477,4.04141329247511,8.53054268772993,13.8982557131216,26.5147765264944,1.11037112421163,0.152724104765408,547.573408857947,1.74491350957754,468.906633540463,4.81233661558484,63.400287555219
4,"DN14",2014,"sparse","32",32004,"RIL_222","null",11.2396783116584,119.811961233396,17.7159717100402,0.044694171412215,261.07539122804,2.2110579130581,20.8749454602477,9.40496535259006,-12.4936562648185,36.6906791113084,4.32436069305863,1.31302203122194,2.92614157312896,5.07829004408257,9.95796124913806,1.39489537457298,0.139586541791541,NA,NA,NA,NA,NA
5,"DN14",2014,"sparse","32",32005,"RIL_190","null",8.52214791366534,108.234912925695,17.2409514686845,0.0297771123809253,301.498037706523,2.08534965043317,20.0784274689704,9.61327087635365,-12.4630702372317,36.6906791113084,4.07514796383797,0.919564245518583,3.19519646314718,6.85700052410669,10.4895377107122,1.56609621637879,0.0986028797608831,293.373707502098,2.54842045056942,295.89057398259,6.08341930841552,41.7424899086035
6,"DN14",2014,"sparse","32",32006,"RIL_188","null",11.7355217404621,127.541002968212,18.3189123495882,0.0497505063166374,246.747474409803,2.2310501347882,21.0325362403656,9.44210710327542,-12.6755870641717,38.8634813769285,4.21888791538318,1.16562684412946,2.96873759311737,4.72205412989674,8.62283770880719,1.14052017634045,0.146302530610128,253.453100299606,2.41140561228546,256.442140085295,6.36287838214523,42.2776620056141
7,"DN14",2014,"sparse","32",32007,"RIL_183","null",13.1534523066439,161.585774918057,18.8079067612539,0.0505394069130889,262.29781123451,2.14929080197463,21.1283661578945,9.91607883303187,-12.7435335443476,43.4206480560667,9.31988803707324,2.95946081824326,6.44594302791296,9.64331467309374,18.7861322336122,1.01444363996343,0.155026536222965,392.191573847026,2.3802960853884,371.710321444431,6.67375845587311,47.1993853615272
8,"DN14",2014,"sparse","32",32008,"A10","null",5.97229408152581,107.411783241731,14.4804572781064,0.027243609795905,228.218928490639,2.29181447903805,22.3336559743165,9.6202808264571,-12.5086086864156,35.584125743125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"DN14",2014,"sparse","32",32009,"RIL_046","null",9.74258238136098,115.49005927601,17.9437673808856,0.0355957809115353,281.0999992216,2.09155052323714,20.014105047416,9.47664811714561,-12.4752597541093,37.3162788285658,4.60796739033675,1.0191851219655,3.08873685719279,5.98913606693418,11.566539634304,1.52584967540829,0.101751494424771,295.23250635822,NA,278.25449472432,NA,45.4778377236284
10,"DN14",2014,"sparse","32",32010,"RIL_039","null",10.5593095972007,131.875233680209,18.9425461514422,0.0468873561526936,235.495559993597,2.21153621956756,20.7110345455064,9.3118604629152,-12.5587202551723,33.8733962552787,5.09102460412548,1.17069745659352,4.15947714994312,1.64987303579726,7.49546772341327,0.549189206895455,0.168624404814269,250.643125208458,2.59339933777957,236.820037578007,4.9000291306398,43.9783993875542
11,"DN14",2014,"sparse","32",32011,"RIL_123","null",6.88664733920058,107.134342454704,15.2600607477067,0.0262853984176773,288.727479096139,2.06255160362363,20.2732243532019,9.90263681740272,-12.6253209233158,43.423939639435,5.53518264071953,1.33639114717743,3.95148375615936,6.34000257640891,12.2397182606348,1.11225934801448,0.124629846787163,379.098293407543,2.58326445751536,330.538780197731,5.04368458492301,40.1386677183234
12,"DN14",2014,"sparse","32",32012,"A10","null",5.97229408152581,107.411783241731,14.4804572781064,0.027243609795905,228.218928490639,2.29181447903805,22.3336559743165,9.6202808264571,-12.5086086864156,35.584125743125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"DN14",2014,"sparse","32",32013,"RIL_139","null",10.3565615683444,126.40755153172,17.2119662334986,0.0377150184645964,282.513402798827,2.00362018210086,19.8206444498094,10.0385266246883,-12.6898904316135,40.305815803253,6.4169320261897,1.59475769142734,3.99571146015249,6.54154738006603,13.9137673997569,1.15792214381469,0.126680471847733,283.677881672427,2.47027294892367,280.827867392161,7.24982597991539,48.0436040971697
14,"DN14",2014,"sparse","32",32014,"RIL_086","null",11.4739434383479,122.814427538928,18.1381682383172,0.0450849892102589,262.94636574464,2.08859416971029,20.7255607014957,10.1111775139137,-12.4591221810715,40.1401448513321,5.82459667697241,1.32925107157086,4.3613582505535,10.3205513844987,15.3608451421457,1.60732039614364,0.0968139157960735,356.160086368888,2.35566589858523,342.319902635097,6.76627848294161,43.0194140408611
15,"DN14",2014,"sparse","32",32015,"RIL_148","null",11.3358715797138,139.318745422431,19.5779762774114,0.0455427869244404,262.406058130316,2.01421712232602,19.6017863018741,9.74572017162334,-12.5161674044089,40.9619164441999,7.34730265111858,1.7716236178721,4.96644227447104,8.53731424617993,16.8876139656733,1.29805938480932,0.107691025960439,374.642545507143,2.40527389660211,302.600917366218,6.03282724284506,46.3214142394406
16,"DN14",2014,"sparse","32",32016,"RIL_204","null",6.8117134176372,98.9059811667136,16.5604052826309,0.0275431386643289,269.035210176761,2.0658080711621,20.1832097775151,9.84678721924298,-12.5502113324335,38.2971382066178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"DN14",2014,"sparse","32",32017,"RIL_002","null",13.1613102721699,160.839097337791,17.5528679123824,0.051674424894653,261.038502067524,2.0524137347164,19.9414162050635,9.76856658794339,-12.4073944215439,40.2382307891373,10.0921379435227,2.57252868360299,7.31919289724793,13.9763752929419,23.9644179639169,1.29792288664425,0.112270241839267,469.922398892559,2.47226811215815,428.479211240754,6.63152260605438,49.832234303185
18,"DN14",2014,"sparse","32",32018,"RIL_040","null",12.6477112743154,144.860662218734,22.9603532599227,0.0438255954924176,288.866831973899,1.9539309402496,19.8461515950658,10.6484664407578,-12.3527458445673,38.1685513451231,9.7305455011689,2.72559852596701,7.27671180542995,7.76957434412968,18.3220964788584,0.918163869440909,0.146921810667564,520.843427799855,2.21452130392389,403.447447498171,5.21731141859675,47.0916657068713
19,"DN14",2014,"sparse","32",32019,"A10","null",5.97229408152581,107.411783241731,14.4804572781064,0.027243609795905,228.218928490639,2.29181447903805,22.3336559743165,9.6202808264571,-12.5086086864156,35.584125743125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"DN14",2014,"sparse","32",32020,"RIL_157","null",14.9140791968743,152.362769292969,18.7314366385879,0.0571629932003016,268.314292342253,2.14169107668638,20.2017833920073,9.33611847016425,-12.4287568776197,37.975671052881,6.35819564973192,1.55412269380638,4.5778532133342,12.0763258801818,17.9365062683098,1.8351892367309,0.0928123735569788,394.312964825698,NA,344.029734752888,5.48081143739197,49.0183473896245
