"Obs","experiment","year","treatment","plot","subplot_id","genotype","sampling","lfblade_area","lfblade_length","lfblade_width","lfblade_weight","SLA","gN.m2","gC.m2","CN_ratio","d13C","panicle_emergence_DAS","vegetative_mass_at_harvest","leaf_mass_at_harvest","stem_mass_at_harvest","panicle_mass_at_harvest","total_mass_at_harvest","reproductive_vegetative_mass_ratio","leaf_mass_ratio","culm_height","branch_number_cbrt","tiller_number","basal_circumference"
1,"DR14",2014,"dry","21",21001,"RIL_161","null",19.3039636429869,187.126692544869,20.8322195233156,0.0753972002975335,261.614353699897,1.38467957365097,21.3976090977663,15.893489183116,-12.2032754579121,38.5723237121086,1.32281725161309,0.542768545651934,0.787878586550473,1.29538898135816,2.58571522694822,0.991976783981777,0.2053156206411,404.281241706314,0.0591393640628459,1.34542060762052,19.6164045124764
2,"DR14",2014,"dry","21",21002,"RIL_035","null",17.2259100005877,178.890905749589,18.6444119875076,0.0692987122547477,249.991513232115,1.06703197664843,21.4740320238765,23.8424599862632,-11.9374633836767,39.1464274669696,0.932328653594186,0.34588847741916,0.587393198368722,0.663579114770235,1.61879940911837,0.676180213034956,0.225056148027718,402.268481273285,-0.0379385951146554,1.049533178788,14.8484859065501
3,"DR14",2014,"dry","21",21003,"RIL_058","null",21.3503421336946,196.908030687384,20.2344559336473,0.0896798012535502,247.338227421018,1.13387860401502,21.3976090977663,19.409709885126,-11.9640445911002,38.1895878755347,1.22640718623439,0.472304161422992,0.760266911650858,1.17469958693891,2.37271738174486,0.951091325174828,0.195916223207161,390.91444806135,0.0591393640628459,1.39062760901413,18.8810227516709
4,"DR14",2014,"dry","21",21004,"RIL_190","null",16.2283746272591,153.882605108686,20.03166519508,0.0567807301515252,285.119625733943,1.21535096598091,19.1488828788093,16.5125065428036,-12.1776938418434,29.3270962514088,0.770741036589918,0.260291985112627,0.507005815091758,0.939994583447181,1.71989222897034,1.19389781836338,0.159041022377118,351.794642722041,0.0591393640628489,1.83647853870675,18.4124437765362
5,"DR14",2014,"dry","21",21005,"B100","null",24.4558200983601,200.612582989262,23.4686767294224,0.0975107905544772,259.458179369679,1.21137780249345,21.4067307916829,20.6072661762673,-11.8116708058295,38.5937086484565,1.63147749386794,0.624041435247651,1.00945403471899,1.61063086516443,3.22331839144365,1.00180544954483,0.194305055309548,468.473767181343,-0.059890936031668,1.03499929778912,20.7506002228864
6,"DR14",2014,"dry","21",21006,"RIL_194","null",19.6739835424363,199.485665973301,22.0752600730754,0.0823066602663483,241.065132067517,1.1214660298935,19.6208014913444,18.923787000156,-12.0274913978315,32.2979891461983,1.37251157024045,0.446526885086056,0.926378525928107,1.39938096390731,2.72422149362732,1.02515685946112,0.158251192888586,514.828237797079,-0.0379385951146554,1.8714116683389,18.9445238800227
7,"DR14",2014,"dry","21",21007,"RIL_207","null",NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8831331278258,1.36075262816139,0.444186077532093,0.916866385318084,1.97606757017259,3.29940717757372,1.58953497991139,0.128554766743448,473.386016573511,-0.0379385951146554,1.42440552233117,19.1577994250881
8,"DR14",2014,"dry","21",21008,"RIL_183","null",17.7928456903597,184.179627454262,20.5144673807268,0.0768956464433667,238.551970239713,1.21013064665038,21.860513676384,20.2412036273595,-12.5568055166453,38.5723237121086,1.41113789866883,0.543670514838518,0.878625291345562,1.27450374422212,2.6415413218074,0.903753422044254,0.201133779609037,433.130807913001,-0.0379385951146554,1.54834900561729,18.1322455160909
9,"DR14",2014,"dry","21",21009,"RIL_170","null",16.7155856287791,190.823428742174,20.0742848339238,0.0663770960757416,251.716951852672,NA,NA,NA,NA,43.4014709937126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"DR14",2014,"dry","21",21010,"RIL_101","null",20.212414990058,192.871269587354,24.7915678709732,0.07572048372933,266.287449117912,1.00005066584967,17.9880111791443,23.0161784077724,-12.037142911515,38.5723237121086,1.55277490552868,0.491541094171633,1.02708034177359,1.26205619392305,2.77017895485291,0.822560053394929,0.16984612295738,538.878144509632,0.0843719691339137,0.9647536333174,17.5565279727552
