DOY,Hour,WW_5cm_p1,WW_5cm_p2,WW_5cm_p3,WW_5cm_p4,WW_5cm_p5,WW_5cm_p6,D_5cm_p1,D_5cm_p2,D_5cm_p3,D_5cm_p4,D_5cm_p5,D_5cm_p6,WW_20cm_p1,WW_20cm_p2,WW_20cm_p3,WW_20cm_p4,WW_20cm_p5,WW_20cm_p6,D_20cm_p1,D_20cm_p2,D_20cm_p3,D_20cm_p4,D_20cm_p5,D_20cm_p6,WW_35cm_p1,WW_35cm_p2,WW_35cm_p3,WW_35cm_p4,WW_35cm_p5,WW_35cm_p6,D_35cm_p1,D_35cm_p2,D_35cm_p3,D_35cm_p4,D_35cm_p5,D_35cm_p6
195,16,0.389,0.37,0.384,0.383,0.364,0.382,0.374,0.3093333333,0.3803333333,0.3066666667,0.3353333333,0.3516666667,0.411,0.427,0.39,0.406,0.397,0.379,0.3723333333,0.394,0.395,0.3986666667,0.3936666667,0.426,0,0,0,0,0,0,0,0,0,0,.,0
195,16,0.384,0.366,0.384,0.379,0.364,0.382,0.3736666667,0.3003333333,0.3803333333,0.3066666667,0.335,0.3516666667,0.401,0.426,0.39,0.405,0.397,0.379,0.3723333333,0.3943333333,0.395,0.3986666667,0.3936666667,0.426,0,0,0,0,0,0,0,0,0,0,.,0
195,16,0.383,0.355,0.379,0.379,0.363,0.381,0.375,0.3006666667,0.3803333333,0.3066666667,0.3346666667,0.3516666667,0.399,0.423,0.369,0.405,0.397,0.377,0.3676666667,0.395,0.395,0.3986666667,0.3936666667,0.426,0,0,0,0,0,0,0,0,0,0,.,0
195,17,0.383,0.355,0.373,0.379,0.36,0.383,0.3753333333,0.3006666667,0.3803333333,0.3066666667,0.3346666667,0.351,0.399,0.423,0.352,0.405,0.397,0.369,0.3666666667,0.3953333333,0.395,0.3986666667,0.3936666667,0.4263333333,0,0,0,0,0,0,0,0,0,0,.,0
195,17,0.383,0.354,0.373,0.379,0.351,0.383,0.3753333333,0.3013333333,0.3806666667,0.306,0.3353333333,0.3636666667,0.399,0.423,0.352,0.405,0.397,0.368,0.3666666667,0.3953333333,0.3943333333,0.3986666667,0.395,0.4313333333,0,0,0,0,0,0,0,0,0,0,.,0
195,17,0.383,0.354,0.373,0.378,0.351,0.383,0.3753333333,0.3003333333,0.3806666667,0.306,0.3353333333,0.365,0.399,0.423,0.352,0.405,0.397,0.368,0.367,0.3953333333,0.3943333333,0.3986666667,0.3926666667,0.431,0,0,0,0,0,0,0,0,0,0,.,0
195,17,0.383,0.354,0.373,0.379,0.351,0.383,0.3753333333,0.3003333333,0.381,0.306,0.336,0.365,0.399,0.423,0.358,0.405,0.397,0.368,0.3673333333,0.3953333333,0.3943333333,0.3986666667,0.393,0.4313333333,0,0,0,0,0,0,0,0,0,0,.,0
195,18,0.383,0.354,0.373,0.379,0.351,0.383,0.3753333333,0.3003333333,0.381,0.306,0.3363333333,0.365,0.399,0.423,0.354,0.405,0.397,0.368,0.3673333333,0.3953333333,0.3943333333,0.3986666667,0.3933333333,0.4316666667,0,0,0,0,0,0,0,0,0,0,.,0
195,18,0.383,0.353,0.373,0.378,0.351,0.383,0.3753333333,0.3003333333,0.381,0.306,0.3366666667,0.365,0.399,0.423,0.354,0.405,0.398,0.368,0.3673333333,0.3953333333,0.3936666667,0.3986666667,0.3933333333,0.4316666667,0,0,0,0,0,0,0,0,0,0,.,0
195,18,0.381,0.353,0.373,0.379,0.351,0.383,0.375,0.3006666667,0.3806666667,0.3053333333,0.336,0.365,0.399,0.423,0.354,0.405,0.398,0.368,0.3666666667,0.3953333333,0.3936666667,0.398,0.3933333333,0.4306666667,0,0,0,0,0,0,0,0,0,0,.,0
195,18,0.381,0.352,0.373,0.379,0.343,0.381,0.3746666667,0.3003333333,0.3803333333,0.304,0.3343333333,0.365,0.399,0.423,0.354,0.405,0.397,0.368,0.3666666667,0.395,0.3936666667,0.3963333333,0.392,0.43,0,0,0,0,0,0,0,0,0,0,.,0
