date ,time,meter start gal,meter stop gal,difference gal,per plot
130817,1130,4143,4444,301,37.625
130818,1308,4456,4703,247,30.875
130819,,4725,5025,300,37.5
130820,,,,0,0
130821,,5390,5899,509,63.625
130822,,,,0,0
130823,afternoon to morning of 130824,5920,14020,8100,1012.5
130824,,,,0,0
130825,,,,0,0
130826,,,,0,0
130827,,,,0,0
130828,1530-1700,14040,14795,755,94.375
130829,1516-1616,14820,15230,410,51.25
130830,1645-1800,15253,15858,605,75.625
130902,1830,15858,16140,282,35.25
130905,,16140,16842,702,87.75
130908,1103,16842,17847,1005,125.625
130909,1631,17847,18456,609,76.125
130910,1700,18456,24926,6470,808.75
130914,,24926,25548,622,77.75
130917,1700-1800,25548,26056,508,63.5
130918,,26056,26797,741,92.625
130919,,26797,27266,469,58.625
130921,,27266,27620,354,44.25
130922,,27620,28145,525,65.625
130923,,28145,28707,562,70.25
130925,,28707,29181,474,59.25
130927,,29181,29622,441,55.125
130930,,29622,,,
130914,0940-1050,31525,31944,419,52.375
